include	character_name	official_name	alternate_name	cancel_types	guard_type	sort_order	combo_type	content	conditions	tag_list	hits	damage	damage_formula	life_point_damage	chip_damage	chip_damage_max	chip_damage_formula	stun_damage	stun_damage_formula	startup	startup_formula	active	active_formula	active_until_landing	whiff_recovery	whiff_recovery_formula	block_advantage	block_advantage_min	block_advantage_max	block_advantage_formula	hit_advantage	hit_advantage_min	hit_advantage_max	hit_advantage_formula	crouching_hit_advantage	crouching_hit_advantage_min	crouching_hit_advantage_max	crouching_hit_advantage_formula	meter_cost	meter_cost_formula	whiff_meter_build	whiff_meter_build_formula	block_meter_build	block_meter_build_formula	hit_meter_build	hit_meter_build_formula	parry_meter_build	parry_meter_build_formula	description	metadata
TRUE	Sean	Tornado (HK)		-	Any	543	Special	214 + HK		multi hit	4	160	50+40×3	26	14		-	18	18(5x4)	16	-	3	-	-	21	-	-6			-	-4			-	-	-4	-2	-4 to -2	-	-	3	-	15	-	21	-	16	-	This is Sean's version of the tatsu. Its easy to combo into (LK/MK/EX versions) from HK, MP, etc.  Does good damage and its useful for pressuring opponents.  The LK tornado can be used as an anti-air and combo'd into SA1 before they hit the ground (in the corner only).  Also the HK or MK versions are great for chip out wins.  All variations of Tornado are unsafe on hit AND block (except for EX which is 99% safe) and comboing into the HK tornado works only vs Crouching opponents (still very unsafe).  The first hit all of the Tornadoes force stand which makes the move even more unsafe than it should be.	{"Parry":"H/H/H/H"}
TRUE	Sean	Tornado (EX)		-	Any	545	Special	214 + KK		ex	4	175	60+40×3	28	15		-	22	22(9+5×3)	9	9・21・30・40	11	2・3・4・2	-	17	-	-3			-	-1			-	-	-1	1	-1 to +1	40	-	-	-	-	-	-	-	16	-	EX Tornado can leave you at -1, 0 or +1 on hit depending on the situation:	{"Parry":"H"}
TRUE	Sean	Tackle (LP)		-	Low	551	Special	41236 + LP		hard knockdown		180	-	30	0		-	16	-	18	-	2	-	-	28	-	-14			-	-			-	-			-	-	-	0	-	0	-	11	-	4	-	This is another source of mobility in addition to Sean's already fast and lengthy dash.  Its recovery is low to the ground which gives him a 2nd move that goes underneath projectiles (the first being Zenten).  Useful to close distance from you to the opponent when used just for the dash itself.  The tackle itself is meant to be used defensively when you parry an attack with a long recovery from a long distance but it can be used to catch whiffed lows or dashes when in close enough range.  You can cancel into this (LP version) from his any of his close normals for fake outs into grab/EX DS/super but be for-warned doing this against someone who's quick enough to punish you.  You can combo into this off of his taunt for style.  Be warned, the attack is not a grab and the attack doesn't have the "duck" property (like Yun's jump kick and Dudley's rush attack or Sean's Zenten).  It's a move that has 0 priority until the actual tackle attack and even then its really slow.	{"Parry":"L"}
TRUE	Sean	Tackle (MP)		-	Low	552	Special	41236 + MP		hard knockdown		180	-	30	0		-	16	-	22	-	2	-	-	28	-	-14			-	-			-	-			-	-	-	0	-	0	-	11	-	4	-	This is another source of mobility in addition to Sean's already fast and lengthy dash.  Its recovery is low to the ground which gives him a 2nd move that goes underneath projectiles (the first being Zenten).  Useful to close distance from you to the opponent when used just for the dash itself.  The tackle itself is meant to be used defensively when you parry an attack with a long recovery from a long distance but it can be used to catch whiffed lows or dashes when in close enough range.  You can cancel into this (LP version) from his any of his close normals for fake outs into grab/EX DS/super but be for-warned doing this against someone who's quick enough to punish you.  You can combo into this off of his taunt for style.  Be warned, the attack is not a grab and the attack doesn't have the "duck" property (like Yun's jump kick and Dudley's rush attack or Sean's Zenten).  It's a move that has 0 priority until the actual tackle attack and even then its really slow.	{"Parry":"L"}
TRUE	Sean	Tackle (HP)		-	Low	553	Special	41236 + HP		hard knockdown		180	-	30	0		-	16	-	26	-	2	-	-	28	-	-14			-	-			-	-			-	-	-	0	-	0	-	11	-	4	-	This is another source of mobility in addition to Sean's already fast and lengthy dash.  Its recovery is low to the ground which gives him a 2nd move that goes underneath projectiles (the first being Zenten).  Useful to close distance from you to the opponent when used just for the dash itself.  The tackle itself is meant to be used defensively when you parry an attack with a long recovery from a long distance but it can be used to catch whiffed lows or dashes when in close enough range.  You can cancel into this (LP version) from his any of his close normals for fake outs into grab/EX DS/super but be for-warned doing this against someone who's quick enough to punish you.  You can combo into this off of his taunt for style.  Be warned, the attack is not a grab and the attack doesn't have the "duck" property (like Yun's jump kick and Dudley's rush attack or Sean's Zenten).  It's a move that has 0 priority until the actual tackle attack and even then its really slow.	{"Parry":"L"}
TRUE	Sean	Tackle (EX)		-	Low	555	Special	41236 + PP		hard knockdown, ex		260	-	40	0		-	25	-	28	-	2	-	-	28	-	-14			-	-			-	-			-	40	-	-	-	-	-	-	-	4	-	EX version of Sean tackle, one of his most damaging moves (does the same as Hadou Burst).  It can cover a good distance quickly and can also be used to escape jump-ins if your AA gets parried.  Its also possible to punish with this on parry against long recovery moves such as sweeps.  Has the most stun of any special move that the shotos have and you can combo this off a taunt for style.	{"Parry":"L"}
TRUE	Sean	-	Jab	Self,Special,Super	Any	110	Normal	LP		-		20	-	3	-		-	3	-	3	-	2	-	-	5	-	5			-	5			-	5			-	-	-	0	-	1	-	2	-	-	-		{"Parry":"HL"}
TRUE	Sean		Close Strong	Special,Super		121	Proximity Normal	c.MP				90		16				9		4		5			13		0				1				2						2		6		11					{"Parry":"H"}
TRUE	Sean		Far Strong	-		122	Proximity Normal	f.MP				80		14				11		5		4			13		0				1				2						2		6		11					{"Parry":"HL"}
TRUE	Sean	-	Close Fierce	Special,Super	Any	131	Proximity Normal	c.HP		-		120	-	21	-		-	13	-	5	-	5	-	-	20	-	-4			-	-2			-	0			-	-	-	3	-	10	-	19	-	-	-		{"Parry":"H"}
TRUE	Sean		Close Fierce + Sean Pachiki	Special,Super	-	132	Target Combo	c.HP > 6HP		-		-	120+50+60	-	-		-	18	-	5	-	-	-	-	45	-	-6			-	-4			-	-2			-	-	-	3	-	15	-	30	-	-	-	More of a Target "link" rather than combo since it doesn't combo but it scales like one.	{"Parry":"H/H"}
TRUE	Sean	-	Far Fierce	-	Any	133	Proximity Normal	f.HP		-		120	-	21	-		-	10	-	9	-	4	-	-	23	-	-7			-	-	-4	-5	-5 or -4	-	-3	-1	-3 to -1	-	-	2	-	6	-	11	-	-	-		{"Parry":"H"}
TRUE	Sean	Sean Pachiki		-	Overhead	133	Command Normal	6HP		-	2	140	60+80	22	-		-	13	-	21	-	7	-	-	24	-	-6			-	-4			-	-2			-	-	-	-	-	-	-	-	-	-	-		{"Parry":"H/H"}
TRUE	Sean		Short	N/A		140	Normal	LK				30		5				3		4		4			8		2				2				2						0		1		2					{"Parry":"HL"}
TRUE	Sean	-	Forward	N/A	Any	150	Normal	MK		-		90	-	16	-		-	5	-	6	-	4	-	-	15	-	-2			-	-1			-	0			-	-	-	2	-	6	-	11	-	-	-		{"Parry":"HL"}
TRUE	Sean	-	Close Roundhouse	Special,Super	Any	161	Proximity Normal	c.HK		-		145	-	25	-		-	11	-	5	-	5	-	-	14	-	2			-	4			-	6			-	-	-	3	-	10	-	19	-	-	-		{"Parry":"H"}
TRUE	Sean		Far Roundhouse	N/A	Overhead	162	Proximity Normal	f.HK				120		21				11		7		4			25		-9				-7				-5						3		6		14					{"Parry":"H"}
TRUE	Sean	Rolling Sabat			Overhead	166	Command Normal	6HK		hard knockdown			90(70)	16				9		15		5			18		-5																							{"Parry":"H"}
TRUE	Sean		Crouch Jab	Self,Special,Super	Any	210	Normal	2LP				20		3				3		4		3			7		3				3				3						0		1		2					{"Parry":"HL"}
TRUE	Sean	-	Crouch Strong	Special,Super	Any	220	Normal	2MP		-		80	-	14	-		-	7	-	5	-	4	-	-	10	-	3			-	4			-	5			-	-	-	2	-	6	-	11	-	-	-		{"Parry":"HL"}
TRUE	Sean		Crouch Fierce	Special,Super	Any	230	Normal	2HP				120		21				13		7		5			22		-9				-7				-5						3		10		19					{"Parry":"HL"}
TRUE	Sean	-	Crouch Short	Self,Special,Super	Low	240	Normal	2LK		-		20	-	3	-		-	3	-	5	-	3	-	-	7	-	1			-	1			-	1			-	-	-	0	-	1	-	2	-	-	-		{"Parry":"L"}
TRUE	Sean		Crouch Forward	Special,Super	Low	250	Normal	2MK				70		15				3		7		5			17		-4				-3				-2						2		6		11					{"Parry":"L"}
TRUE	Sean	-	Crouch Roundhouse	-	Low	260	Normal	2HK		hard knockdown		120	-	21	-		-	3	-	8	-	5	-	-	30	-	-16			-	-			-	-			-	-	-	3	-	10	-	19	-	-	-		{"Parry":"L"}
TRUE	Sean		Jump Jab		Overhead	310	Normal	j.LP		air only		50		8				7		4			until landing					-5	7	-5～+7		-5	7	-5～+7		4	7				0		1		2					{"Parry":"H"}
TRUE	Sean		Neutral Jump Jab			311	Command Normal	8LP		air only		40		2				7		5			until landing					-5	7	-5～+7		-5	7	-5～+7		4	7				0		1		2					{"Parry":"H"}
TRUE	Sean	-	Jump Strong	-	Overhead	320	Normal	j.MP		air only		90	-	16	-		-	9		5		5	-	-	-	-	-	-2	10	-2～+10	-	-2	10	-2～+10	-	7	10	=+7～+10	-	-	2	-	6	-	11	-	-	-		{"Parry":"H"}
TRUE	Sean		Neutral Jump Strong		Overhead	321	Command Normal	8MP		air only								11		6																					2	-	6	-	11					{"Parry":"H"}
TRUE	Sean		Jump Fierce		Overhead	330	Normal	j.HP		air only		130		23				13		6		4						-4	10			-4	10			4	10				3		10		19					{"Parry":"H"}
TRUE	Sean	-	Neutral Jump Fierce	-	Overhead	331	Command Normal	8HP		air only		130	-	23	-		-	15	-	7	-	3		-	-	-	-	4	10	-4～+10/+4～+10	-	4	10	-4～+10/+4～+10	10			=+4～+10/+10	-	-	3	-	10	-	19	-	-	-		{"Parry":"H"}
TRUE	Sean		Jump Short		Overhead	340	Normal	j.LP		air only		50		8				5		4		10						-8	7	-8～+7		-8	7	-8～+7		0	7				0		1		2					{"Parry":"H"}
TRUE	Sean		Neutral Jump Short		Overhead	341	Command Normal	8LP		air only								7		5		19																			0		1		2					{"Parry":"H"}
TRUE	Sean	-	Jump Forward	-	Overhead	350	Normal	j.MK		air only		90	-	16	-		-	9	-	5	-	6	-	-	-	-	-	-3	10	-3～+10	-	-3	10	-3～+10	-	6	10	=+6～+10	-	-	2	-	6	-	11	-	-	-		{"Parry":"H"}
TRUE	Sean		Neutral Jump Forward		Overhead	351	Command Normal	8MK		air only		90		16				9		5		6							-2	10		-2	10			6	10				2		6		11					{"Parry":"H"}
TRUE	Sean	-	Jump Roundhouse	-	Overhead	360	Normal	j.HK		air only		110	-	22	-		-	13	-	6	-	4	-	-	-	-	-	-1	10	-1～+10	-	-1	10	-1～+10	-	4	10	=+4～+10	-	-	3	-	10	-	19	-	-	-		{"Parry":"H"}
TRUE	Sean		Neutral Jump Roundhouse		Overhead	361	Command Normal	8HK		air only		130		23				13		7		5			7			2	10			2	10			7	10				3	-	10	-	19					{"Parry":"H"}
TRUE	Sean	Hadou Burst	Super Art 1		Any	1010	Super	236+236+P		hard knockdown		220		39	14			9		2		1			61		-29																							{"Parry":"H"}
TRUE	Sean	Shoryu Cannon	Super Art 2		Any	1020	Super	236+236+P+mash		hard knockdown		390	14 hits(80+50+35+35+40×9)	38		90					1・3・28・30・32・34・36・38・40・42・44・46・48・50・52・54		2・7・2・2・2・(1×10)		36		-43																							{"Parry":"HLx1~14"}
TRUE	Sean	Hyper Tornado	Super Art 3		Any	1030	Super	236+236+P		hard knockdown		460		76	10			14		2		14			53		-31																							{"Parry":"HL"}
