description	Move	Motion	Damage	Stun Damage	Chains into itself	Special Cancel	Super Cancel	Startup	Hit	Recovery	Blocked Advantage	Hit Advantage	Crouching Hit Advantage	Guard	Parry	gagueData_Miss	gagueData_Blocked	gagueData_Hit	gagueData_Parry (Gauge for opponent)	Juggle Value	Reset or Juggle	Throw Range	Kara-Throw	Kara-Throw Range	Blocked Damage	gagueData_Move	Gauge Needed	gagueData_Motion	gagueData_Gauge Needed	gagueData_Damage	gagueData_Blocked Damage	gagueData_Stun Damage	gagueData_Super Cancel	gagueData_Juggle Value	gagueData_Reset or Juggle
"Also tied for the fastest move in the game, this quick knee strike has very little utility outside of Remy's TC."	Close Short	(Close to opponent) LK	35(6 life points)	5	No	Yes	Yes	2	5	7	0	0	0	HL	HL	0	1	2	4	15	Reset	-	-	-	-	-	-	-	-	-	-	-	-	-	-
"Now we finally reach a good normal! This is Remy's main damage hitconfirm a la SA2 (st.Forward -> SA2), which is important because Remy has very few safe confirms. Without it, Remy doesn't really have good damage options outside of his cr. Fierce."	Close Forward	(Close to opponent) MK	80(16 life points)	7	No	Yes	Yes	4	6	11	+1	+3	+5	HL	H	2	6	11	4	15	Reset	-	-	-	-	-	-	-	-	-	-	-	-	-	-
"A 2-hit tall kick that allows links to SA2 afterwards. Sounds nice, until you remember that the first hit only comes out point blank, which is a shame because it also special cancels. Still, it can act as a decent anti-air for opponents only expecting one parry."	Close Roundhouse	(Close to opponent) HK	140(80+60)(23 life points)	16(7+9)	No	Yes/No	Yes/No	6	3	15	+3	+5	+7	HL	H	3	12	25	8(4+4)	3/3	Reset/Reset	-	-	-	-	-	-	-	-	-	-	-	-	-	-
A rather meh move. Completely outclassed by jumping Strong.	Jump Jab	(Air) LP	40(7 life points)	7	No	No	No	4	20	-	-3～+7	-3～+7	+3～+7	H	H	0	1	2	4	3	Reset	-	-	-	-	-	-	-	-	-	-	-	-	-	-
"Remy smacks you with his clown fingers with a good amount of active frames. Can be used in air-to-airs or to tick throw, but is generally outclassed by jumping Fierce."	Jump Strong	(Air) MP	70(12 life points)	11	No	No	No	5	14	-	-3～+10	-3～+10	+7～+10	H	H	2	6	11	4	3	Reset	-	-	-	-	-	-	-	-	-	-	-	-	-	-
"In 3S, meeting the opponent air-to-air is normally a safer option than grounded anti-airs since most air normals don't allow combos on airborne opponents. This blunt elbow strike is an exception to this and makes Remy's opponents want to parry way earlier in their jump arc than most other characters, which can open them up for Remy's myriad of other options. Generally you only have time for a flash kick once you land, but if you smack the opponent particularly high in their jump near the corner you can do a short or forward Cold Blue Kick first."	Jump Fierce	(Air) HP	125(22 life points)	15	No	No	No	9	5	-	-2～+13	-2～+13	+8～+13	H	H	3	10	19	4	3	Juggle	-	-	-	-	-	-	-	-	-	-	-	-	-	-
"Almost useless except for the fact that it is Remy's only cross-up. The cross-up box is so small that it doesn't really matter anyways."	Jump Short	(Air) LK	50(8 life points)	5	No	No	No	4	14	-	-4～+7	-4～+7	+1～+7	H	H	0	1	2	4	3	Reset	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Good as a long range air-to-air.	Jump Forward	(Air) MK	90(16 life points)	9	No	No	No	6	4	-	-2～+10	-2～+10	+7～+10	H	H	2	6	11	4	3	Reset	-	-	-	-	-	-	-	-	-	-	-	-	-	-
"The hitbox goes very low to the ground, making it hit characters looking to anti-air parry earlier than usual. It also hits most characters after an immediate neutral jump, making neutral jumps yet another potential anti-air in Remy's kit. This is your main jump-in normal alongside jumping Fierce."	Jump Roundhouse	(Air) HK	120(21 life points)	13	No	No	No	10	4	-	-1～+13	-1～+13	+7～+13	H	H	3	10	19	4	3	Reset	-	-	-	-	-	-	-	-	-	-	-	-	-	-
"As far as UOHs go, Remy gets a good amount of use out of spaced/meaty UOH -> SA2, especially with a standing HK kara giving it a massive range boost. However, Remy suffers from a severe lack of reasons for the opponent to block or parry low, so it's not entirely in Remy's favor."	Universal Overhead	MP+MK	40(7 life points)	3	No	No	No	15	10	5	-5~+7	0~+8	+1~+9	H	H	0	1	2	4	1	Reset	-	-	-	-	-	-	-	-	-	-	-	-	-	-
"Because Remy has few ways of dissuading parries, this throw is a godsend. It smacks the opponent fullscreen, and in the corner it allows you to juggle an HK flash kick (requires a st.MP kara on Twins, Ibuki, Dudley, and Oro) or even partial connects of SA1/SA2. His kara throw range is pretty nice as well."	Valse no you ni Kuruoshiku	LP+LK	120(17 life points)	15	-	-	-	2	1	21	-	-	-	LP+LK	-	0	7 (for the player who blocked)	7	-	1	Juggle	24	"Far S.HK / Far S.MP / F.MK / Close S.MP / Close S.LK / Close S.MK / Far S.HP / C.MK / C.HK / C.HP / Far S.LP"	51 / 45 / 40 / 38 / 36 / 36 / 33 / 32 / 31 / 30 / 25	-	-	-	-	-	-	-	-	-	-	-
"Basic damage throw. Good in the corner against characters that need a kara flash kick, if you haven't mastered it."	Nemuri wo Midasu Contour	B/F+LP+LK	130(23 life points)	5	-	-	-	2	1	21	-	-	-	B/F+LP+LK	-	0	7 (for the player who blocked)	8	-	-	-	24	"Far S.HK / Far S.MP / F.MK / Close S.MP / Close S.LK / Close S.MK / Far S.HP / C.MK / C.HK / C.HP / Far S.LP"	51 / 45 / 40 / 38 / 36 / 36 / 33 / 32 / 31 / 30 / 25	-	-	-	-	-	-	-	-	-	-	-
"cr.LP -> cr.LP -> flash kick is another one of Remy's confirms, but it's held back somewhat by the fact that cr.LP can be parried in any direction. Still, it IS a confirm. 3 cr.LPs -> flash kick is also a combo that requires no prior charge, but also requires you to be point blank."	Crouch Jab	D+LP	30(3 life points)	3	Yes	Yes	Yes	5	2	7	+2	+2	+2	HL	HL	0	1	2	4	15	Reset	-	-	-	-	-	-	-	-	-	-	-	-	-	-
"Good range, but low damage. It's usually cancelled into LoV for pressure, but can also be parried in either direction. Not only does Remy have a hard time making them block low, but making them parry low is also difficult. Given that this is Remy's main cancel for extending combos and blockstrings, it's a rather nifty tool. It also has a very good anti-air hitbox, as if Remy didn't have enough of those."	Crouch Strong	D+MP	55(9 life points)	5	No	Yes	Yes	5	5	11	-2	-1	0	HL	HL	2	6	11	4	15	Reset	-	-	-	-	-	-	-	-	-	-	-	-	-	-
"This move is the most basic and scary of all of Remy's anti-airs, since it allows juggles on hit. On grounded connects and when midscreen it gives you time to charge up a HK flash kick, which is Remy's max damage for close range parries. In the corner you can combo an short Cold Blue Kick before this for more damage. Be careful to switch up between anti-airs, as if this move is air parried you're eating a fat combo."	Crouch Fierce	D+HP	100(17 life points)	9	No	No	No	9	5	18	-5	Down	Down	HL	HL	3	10	19	4	3	Juggle	-	-	-	-	-	-	-	-	-	-	-	-	-	-
"Very important, as it's the only way you can safely make the opponent fear a low in neutral, even though it has no confirming options, bad damage, and is 0 on hit/block. More like a nuisance than anything threatening. Still, strings like low Short xx low LoV and low Short xx Light of Justice are safe and make the opponent block their toes to avoid damage, although neither confirm."	Crouch Short	D+LK	30(5 life points)	3	No	Yes	Yes	3	4	7	0	0	0	L	L	0	1	2	4	15	Reset	-	-	-	-	-	-	-	-	-	-	-	-	-	-
"This would be a nice low poke if not for the fact that it's laughably minus. Most shotos can sweep this on reaction and most other characters can get free damage depending on spacing. Still, it's not worthless against characters with bad mid-range punish options, like Dudley, but it still ends your momentum."	Crouch Forward	D+MK	60(10 life points)	3	No	No	No	8	5	18	-9	-8	-7	L	L	2	6	11	4	15	Reset	-	-	-	-	-	-	-	-	-	-	-	-	-	-
"Guile much? While a sweep for most characters is a risky but slightly more rewarding low, the risk-reward for Remy is definitely not in his favor. This is due to the fact that, on block, the two hits are not a true blockstring, allowing the opponent to blue parry the second hit on reaction. Not only that, but on hit you get little okizeme since you're stuck whiffing the second hit. It's not useless, but only pull this out if you are confident that the opponent isn't blocking low."	Crouch Roundhouse	D+HK	100+110(17 life points)	3+3	No	No	No	9	2/5	21	-11	Down	Down	L	L	3	20	22	4	15	Juggle	-	-	-	-	-	-	-	-	-	-	-	-	-	-
"While this is an overhead with good range, it has little else going for it - the startup is somewhat reactable (meaning opponents can potentially parry on reaction, depending on skill level) and it's pretty bad on hit/block, ending your turn and potentially opening the door for the opponent to punish you for it. Generally an HK kara universal overhead has a bit less range but accomplishes the same thing without being minus."	Amari ni Muku na Aiguille	F+MK	80	3	No	No	No	18	3	20	-7	-6	-5	H	H	2	6	11	4	15	Reset	-	-	-	-	-	-	-	-	-	-	-	-	-	-
"Useless on grounded opponents, but serves as another 2-hit anti-air option select should the opponent parry the first hit."	Target Combo 1	Close MK -> HK	90+60	9+5	No	Yes/No	Yes/No	4	-	-	-9	-7	-5	HL/HL	H/H	2+?	6+1	11+1	8(4+4)	15/15	Reset/Reset	-	-	-	-	-	-	-	-	-	-	-	-	-	-
"A very strange target combo that gives Remy better damage and versatility off of a close Jab anti-air as discussed previously. When point blank, close Jab xx close Jab xx close Short is a decent super confirm for both SA1 and SA2 (and is technically damage optimal for SA2), but is executionally difficult due to the fact that the close Short must be done while the stick is in the neutral position."	Target Combo 2	Close LP -> Close LK	30+35 (11 life points)	3+5	Yes/No	Yes/Yes	Yes/Yes	4	-	-	0	0	0	HL/HL	HL/HL	0(0+0)	2(1+1)	4(2+2)	8(4+4)	1/15	Reset/Reset	-	-	-	-	-	-	-	-	-	-	-	-	-	-
-	Light of Virtue (Jab)	Charge B,F+LP	60(10 life points)	3	-	-	Yes	8	1	22	+5	+6	+7	HL	H	0	1	1	4	7	Reset	-	-	-	4	Light of Virtue (Jab)	-	-	-	-	-	-	-	-	-
-	Light of Virtue (Strong)	Charge B,F+MP	60(10 life points)	3	-	-	Yes	9	1	22	+5	+6	+7	HL	H	0	1	1	4	7	Reset	-	-	-	4	Light of Virtue (Strong)	-	-	-	-	-	-	-	-	-
-	Light of Virtue (Strong)	Charge B,F+HP	60(10 life points)	3	-	-	Yes	9	1	22	+5	+6	+7	HL	H	0	1	1	4	7	Reset	-	-	-	4	Light of Virtue (Fierce)	-	-	-	-	-	-	-	-	-
-	Light of Virtue (Short)	Charge B,F+LK	60(10 life points)	3	-	-	Yes	10	1	22	+1	+2	+3	L	L	0	1	1	4	7	Reset	-	-	-	4	Light of Virtue (Short)	-	-	-	-	-	-	-	-	-
-	Light of Virtue (Forward)	Charge B,F+MK	60(10 life points)	3	-	-	Yes	11	1	22	+1	+2	+3	L	L	0	1	1	4	7	Reset	-	-	-	4	Light of Virtue (Forward)	-	-	-	-	-	-	-	-	-
-	Light of Virtue (Forward)	Charge B,F+HK	60(10 life points)	3	-	-	Yes	11	1	22	+1	+2	+3	L	L	0	1	1	4	7	Reset	-	-	-	4	Light of Virtue (Roundhouse)	-	-	-	-	-	-	-	-	-
-	Cold Blue Kick (Short)	QCB+LK	120(21 life points)	7	-	-	No	17	12	10	-4/+5 Low	-4/+5 Low	-4/+5 Low	HL	H	3	12	18	4	2	Juggle	-	-	-	15	Cold Blue Kick (Short)	-	-	-	-	-	-	-	-	-
-	Cold Blue Kick (Forward)	QCB+MK	120(21 life points)	7	-	-	No	18	12	10	-4/+5 Low	-4/+5 Low	-4/+5 Low	HL	H	3	12	18	4	2	Juggle	-	-	-	15	Cold Blue Kick (Forward)	-	-	-	-	-	-	-	-	-
-	Cold Blue Kick (Forward)	QCB+HK	120(21 life points)	7	-	-	No	18	12	10	-4/+5 Low	-4/+5 Low	-4/+5 Low	HL	H	3	12	18	4	2	Juggle	-	-	-	15	Cold Blue Kick (Roundhouse)	-	-	-	-	-	-	-	-	-
-	Rising Rage Flash (Short)	Charge D,U+LK	120(21 life points)	9	-	-	No	3	3	32	-17	Down	Down	HL	HL	3	12	17	4	15	Juggle	-	-	-	15	Rising Rage Flash (Short)	-	-	-	-	-	-	-	-	-
-	Rising Rage Flash (Forward)	Charge D,U+MK	130(23 life points)	7	-	-	No	4	3	39	-23	Down	Down	HL	HL	3	12	17	4	15	Juggle	-	-	-	8	Rising Rage Flash (Forward)	-	-	-	-	-	-	-	-	-
-	Rising Rage Flash (Forward)	Charge D,U+HK	140(24 life points)	7	-	-	No	4	3	39	-23	Down	Down	HL	HL	3	12	17	4	15	Juggle	-	-	-	9	Rising Rage Flash (Roundhouse)	-	-	-	-	-	-	-	-	-
Frame Data	Light of Virtue (EX)	Charge B,F+PP	120(60+60)(20 life points)	6(3+3)	-	-	Yes	7/8*	1	23	+4	+5	+6	HL	H	-	-	-	-	14 (7+7)	Juggle	-	-	-	8(4+4)	Light of Virtue (EX)	40	Charge B,F+KK	40	120(60+60)(20 life points)	8(4+4)	6(3+3)	Yes	14(7+7)	Juggle
"Completely invincible and functions as Remy's true reversal. If you're running SA1, you can cancel the first hit on block to make it safe, but that spends a lot of meter that Remy would much rather keep for EX Booms. Reversals are nice option to have considering some characters don't have any that aren't locked behind Supers, and can invalidate an opponent's wakeup game when properly placed."	Rising Rage Flash (EX)	Charge D,U+KK	190(120+70)(32 life points)	14(7+7)	-	-	Yes/No	6	5	41	-21	Down	Down	HLx2	HLx2	-	-	-	8(4+4)	7/15	Juggle/Juggle	-	-	-	28(24+4)	Rising Rage Flash (EX)	40	-	-	-	-	-	-	-	-
"Generally useless. It doesn't do anything that the normal versions don't already do besides being 2 hits (which is a pretty easy reaction to make considering Remy flashes yellow). It can be used as a niche 2-hit anti-air, but Remy already has plenty of options on that front. At least it gets both of its hits as an anti-air."	Cold Blue Kick (EX)	QCB+KK	160(90+70)(27 life points)	12(7+5)	-	-	No	18	9	10	-2/+5 Low	Down	Down	HLx2	Hx2	-	-	-	8(4+4)	2(1+1)	Juggle	-	-	-	20(11+9)	Cold Blue Kick (EX)	40	-	-	-	-	-	-	-	-
