description	Move	Motion	Damage	Stun Damage	Chains into itself	Special Cancel	Super Cancel	Startup	Hit	Recovery	Blocked Advantage	Hit Advantage	Crouching Hit Advantage	Guard	Parry	gagueData_Miss	gagueData_Blocked	gagueData_Hit	gagueData_Parry (Gauge for opponent)	Throw Range	Kara-Throw	Kara-Throw Range	Blocked Damage	gagueData_Move	Gauge Needed
Comments here	Liver Crusher	LP+LK	160(40x6)(19 life points)	12(3x6)	-	-	-	2	1	21	-	-	-	LP+LK	-	0	7 (for the player who blocked)	12(6x2)	-	24	F.LP / F.MP / F.HK / S.MK / F.MK	32 / 32 / 31 / 28 / 26	-	-	-
Comments here	Dynamite Throw	F/B+LP+LK	120(21 life points)	9	-	-	-	2	1	21	-	-	-	F/B+LP+LK	-	0	7 (for the player who blocked)	7	-	24	F.LP / F.MP / F.HK / S.MK / F.MK	32 / 32 / 31 / 28 / 26	-	-	-
Comments here	Crouch Jab	D+LP	15(3 life points)	3	Yes	Yes	Yes	3	1	9	+1	+1	+1	HL	HL	0	1	2	4	-	-	-	-	-	-
Comments here	Crouch Strong	D+MP	70(12 life points)	7	No	Yes	Yes	4	2	9	+2	+3	+4	HL	HL	2	6	11	4	-	-	-	-	-	-
Comments here	Crouch Fierce	D+HP	130(23 life points)	13	No	Yes	Yes	7	4	13	0	+2	+2	HL	HL	3	10	19	4	-	-	-	-	-	-
Comments here	Crouch Short	D+LK	30(5 life points)	3	Yes	Yes	Yes	4	1	10	0	0	0	L	L	0	1	2	4	-	-	-	-	-	-
Comments here	Crouch Forward	D+MK	60(10 life points)	3	No	Yes	Yes	9	3	22	-12	Down	Down	L	L	2	6	11	4	-	-	-	-	-	-
Comments here	Crouch Roundhouse	D+HK	130(17 life points)	13	No	No	No	15	3	21	+1	Down	Down	L	L	3	10	19	4	-	-	-	-	-	-
Comments here	Slipping Jab	F + LP	25(4 life points)	3	Yes	No	No	4	2	8	+1	+1	+1	HL	HL	0	1	2	4	-	-	-	-	-	-
Comments here	Stomach Blow	F + MP	80(14 life points)	5	No	No	No	8	5	10	+1	0	-1	HL	H	2	6	11	4	-	-	-	-	-	-
Comments here	Step Straight	F + HP	140(24 life points)	13	No	No	Yes	15	5	16	+2	0	-2	HL	H	3	10	19	4	-	-	-	-	-	-
Comments here	Lever Blow	F+MK	100(17 life points)	9	No	Yes	Yes	5	2	9	+2	+3	+3	HL	H	2	6	11	4	-	-	-	-	-	-
Comments here	Dart Shot	F+HK	110(19 life points)	7	No	No	No	12	4	16	-2	0	+2	H	HL	3	10	19	4	-	-	-	-	-	-
Comments here	Target Combo	Crouch LK -> Close MK	30+40	3+4	Yes/No	Yes/Yes	Yes/Yes	4	-	-	-2	0	+2	L/HL	H/L	0+?	1+1	2+1	8(4+4)	-	-	-	-	-	-
Comments here	Target Combo	Forward LP -> Close MP	25+30	3+3	Yes/No	Yes/Yes	Yes/Yes	4	-	-	0	+1	+2	HL/HL	HL/H	0+?	1+1	2+1	8(4+4)	-	-	-	-	-	-
Comments here	Target Combo	Forward HK -> Close MK	110+40	7+4	No/No	No/No	No/No	12	-	-	-2	0	+2	L/HL	H/L	3+?	10+1	19+1	8(4+4)	-	-	-	-	-	-
Comments here	Target Combo	Close LP -> Close MP -> Close MK	25+30+30	3+3+3	Yes/No/No	Yes/Yes	Yes/No/Yes	4	-	-	+2/+1	+3/+3	+3/+3	HL/HL/HL	HL/H/H	0+?	1+1	2+1	8(4+4)	-	-	-	-	-	-
Comments here	Target Combo	Crouch LK -> Crouch MP -> Crouch HP	30+35+40	3+3+4	Yes/No/No	Yes/No/No	Yes/No/No	4	-	-	-1/-2	0/0	0/0	L/HL/HL	L/HL/HL	0+?	1+1	2+1	12(4+4+4)	-	-	-	-	-	-
Comments here	Target Combo	Close MK -> Close HK -> Close HP	80+60+20+20	11+6+3+3	No/No/No/No	No/No/No/No	No/No/No/No	5	-	-	-2	0	+2	HL/HL	H/H	2+?	6+1	11+1	12(4+4+4)	-	-	-	-	-	-
Comments here	Target Combo	Close MP/Forward MK -> Close MK -> Close HP	60/100+40+50	9+4+3	No/No/no	Yes/No/No	Yes/No/No	5	-	-	+1/-4	+3/-2	+5/0	HL/HL/HL	H/H/H	2+?	6+1	11+1	12(4+4+4)	-	-	-	-	-	-
Comments here	Target Combo	Close LK -> Close MK -> Close MP -> Close HP	40+40+30+20+20	3+4+3+3+3	No/No/No/No	Yes/No/No/No	Yes/No/No/No	4	-	-	+1/+2/0	+3/+3/+2	+3/+3/+2	HL/HL/HL/HL	HL/H/H/H	0+?	1+1	2+1	16(4+4+4+4)	-	-	-	-	-	-
-	Jet Upper (Jab)	F, D, DF+LP	140 (80)(24 life points)	17(3)	-	-	Yes	4	8	29	-23	-	-	HL	H	3	15	21	4	-	-	-	18	Jet Upper (Jab)	-
-	Jet Upper (Strong)	F, D, DF+MP	160 (100)(28 life points)	19(3)	-	-	Yes	4	16	28	-30	-	-	HL	H	3	15	21)	4	-	-	-	20	Jet Upper (Strong)	-
-	Jet Upper (Strong)	F, D, DF+HP	180 (40+140(120))(31 life points)	22 (5+17(3))	-	-	Yes/Yes	4	16	28	-30	-	-	HL	H	3	16 (15+1)	22 (21+1)	8(4+4)	-	-	-	23 (5+18)	Jet Upper (Fierce)	-
-	Machine Gun Blow (Jab)	HCF+LP	150(100)(60)(19 life points)	11	-	-	Yes	8・10・18	2・2・4	18	-3	-	-	HL	H/H	3	10	15	4	-	-	-	19(6)(4)	Machine Gun Blow (Jab)	-
-	Machine Gun Blow (Strong)	HCF+MP	165(110+55)(22 life points)	15(11+5)	-	-	Yes/No	15・17・19・27	2・2・1・4	24	-9	-	-	HL	H/H/H	3	11(10+1)	17(15+2)	8(4+4)	-	-	-	21(14+7)	Machine Gun Blow (Strong)	-
-	Machine Gun Blow (Strong)	HCF+HP	185(80+60+50)(27 life points)	17(11+3+3)	-	-	Yes/Yes/No	15・17・19・27	2・2・1・4	24	-9	-	-	HL	H/H/H	3	12(10+1+1)	19(15+2+2)	12(4+4+4)	-	-	-	21(10+8+3)	Machine Gun Blow (Fierce)	-
-	Cross Counter (Jab)	HCB+LP	80 + landed move damage	19	-	-	No	2	68	19	-	Down	Down	HL	HL	3	10	22	4	-	-	-	-	Cross Counter (Jab)	-
-	Cross Counter (Strong)	HCB+MP	100 + landed move damage	19	-	-	No	2	49	19	-	Down	Down	HL	HL	3	10	22	4	-	-	-	-	Cross Counter (Strong)	-
-	Cross Counter (Strong)	HCB+HP	130 + landed move damage	19	-	-	No	2	49	19	-	Down	Down	HL	HL	3	10	22	4	-	-	-	-	Cross Counter (Fierce)	-
-	Ducking (Short)	HCF+LK	-	-	-	-	No/Yes	-	1	18	-	-	-	-	-	-	-	-	-	-	-	-	-	Ducking (Short)	-
-	Ducking (Forward)	HCF+MK	-	-	-	-	No/Yes	-	1	21	-	-	-	-	-	-	-	-	-	-	-	-	-	Ducking (Forward)	-
-	Ducking (Forward)	HCF+HK	-	-	-	-	No/Yes	-	1	21	-	-	-	-	-	-	-	-	-	-	-	-	-	Ducking (Roundhouse)	-
-	Ducking Straight (Jab)	HCF+K,LP	160(28 life points)	17	-	-	No	20	4	19	-7	-1	+1	HL	H	3	10	19	4	-	-	-	10	Ducking Straight (Jab)	-
-	Ducking Straight (Strong)	HCF+K,MP	160(28 life points)	17	-	-	No	19	4	19	-7	-1	+1	HL	H	3	10	19	4	-	-	-	10	Ducking Straight (Strong)	-
-	Ducking Straight (Strong)	HCF+K,HP	160(28 life points)	17	-	-	No	19	4	19	-7	-1	+1	HL	H	3	10	19	4	-	-	-	10	Ducking Straight (Fierce)	-
-	Ducking Uppercut (Short)	HCF+K,LK	180 (50+130)(30 life points)	12 (5+7)	-	-	Yes/Yes	19 · 20	1 · 3	25	-12	-5	-5	HL	H	3	11(10+1)	20(19+1)	8(4+4)	-	-	-	12 (4+8)	Ducking Uppercut (Short)	-
-	Ducking Uppercut (Forward)	HCF+K,MK	180 (50+130)(30 life points)	12 (5+7)	-	-	Yes/Yes	18 · 19	1 · 3	25	-12	-5	-5	HL	H	3	11(10+1)	20(19+1)	8(4+4)	-	-	-	12 (4+8)	Ducking Uppercut (Forward)	-
-	Ducking Uppercut (Forward)	HCF+K,HK	180 (50+130)(30 life points)	12 (5+7)	-	-	Yes/Yes	18 · 19	1 · 3	25	-12	-5	-5	HL	H	3	11(10+1)	20(19+1)	8(4+4)	-	-	-	12 (4+8)	Ducking Uppercut (Roundhouse)	-
Comments here	Jet Upper (EX)	F, D, DF+PP	220 (60+160(140))(37 life points)	22 (5+17(3))	-	-	Yes	3・4	1・20	34	-37	Down	Down	HL	H	-	-	-	8(4+4)	-	-	-	28 (8+20)	Jet Upper (EX)	40
Comments here	Machine Gun Blow (EX)	HCF+PP	190 (40+20(x4)+60+40)(32 life points)	4 ((0x5)+4)	-	-	Yes	16 · 18 · 20 · 22 · 23 · 32 · 46	2 · 2 · 2 · 2 · 1 · 4 · 4	24	-15	Down	Down	HL	HL	-	-	-	28 (4x7)	-	-	-	9 ((0x3)+1+1+4+3)	Machine Gun Blow (EX)	40
Comments here	Cross Counter (EX)	HCB+PP	160+Taken Damage	20	-	-	Yes	4	29	19	-	Down	Down	HL	HL	-	-	-	24(4+4+4+4+4+4)	-	-	-	-	Cross Counter (EX)	40
Comments here	Short Swing Blow (EX)	HCB+KK	200(30+30+140)(33 life points)	25(5+5+15)	-	-	Yes/No/No	17・27・41	2・4・4	15	-3	Down	Down	HL	H/H/HL	-	-	-	12(4+4+4)	-	-	-	22(2+2+18)	Short Swing Blow (EX)	40
