description	Move	Motion	Damage	Stun Damage	Chains into itself	Special Cancel	Super Cancel	Startup	Hit	Recovery	Blocked Advantage	Hit Advantage	Crouching Hit Advantage	Guard	Parry	gagueData_Miss	gagueData_Blocked	gagueData_Hit	gagueData_Parry (Gauge for opponent)	Throw Range	Kara-Throw	Kara-Throw Range	Blocked Damage	gagueData_Move	Gauge Needed
-	Zesshou Hohou (Strong)	QCF+MP	110(19 life points)	9	-	-	No	10	11	16	-11	Down	Down	HL	HL	-	-	-	8(4+4)	-	-	-	14	Zesshou Hohou (Strong)	-
-	Zesshou Hohou (Strong)	QCF+HP	120(21 life points)	9	-	-	No	10	11	16	-11	Down	Down	HL	HL	-	-	-	8(4+4)	-	-	-	15	Zesshou Hohou (Fierce)	-
-	Tetsu Zankou (Jab)	F, D, DF+LP	100(19 life points)	9	-	-	Yes	7	6	13	-1	+1	+3	HLx2	HLx2	3	7	12	4	-	-	-	7	Tetsu Zankou (Jab)	-
-	Tetsu Zankou (Strong)	F, D, DF+MP	125(22 life points)	9	-	-	Yes	8	6	15	-3	Down	Down	HLx2	HLx2	3	7	12	4	-	-	-	8	Tetsu Zankou (Strong)	-
-	Tetsu Zankou (Strong)	F, D, DF+HP	140(24 life points)	9	-	-	No	8	6	15	-3	Down	Down	HLx2	HLx2	3	7	12	4	-	-	-	9	Tetsu Zankou (Fierce)	-
-	Nishou Kyaku (Short)	F, D, DF+LK	130(80+50)(22 life points)	12(7+5)	-	-	No/No	4・13	2・4	25	-25	Down	Down	HL/HL	H/H	3	10(9+1)	16(15+1)	8(4+4)	-	-	-	33(20+13)	Nishou Kyaku (Short)	-
-	Nishou Kyaku (Forward)	F, D, DF+MK	140(80+60)(24 life points)	12(7+5)	-	-	No/No	6・15	2・4	26	-26	Down	Down	HL/HL	H/H	3	10(9+1)	16(15+1)	8(4+4)	-	-	-	35(20+15)	Nishou Kyaku (Forward)	-
-	Nishou Kyaku (Forward)	F, D, DF+HK	150(80+70)(25 life points)	12(7+5)	-	-	No/No	6・15	2・4	26	-26	Down	Down	HL/HL	H/H	3	10(9+1)	16(15+1)	8(4+4)	-	-	-	38(20+18)	Nishou Kyaku (Roundhouse)	-
Comments here	Kobokushi	QCB+P	180(32 life points)	23(17)	-	-	Yes	24	10	4	0	Down	Down	HL	H	3	7	15	4	-	-	-	23(18)	Kobokushi	-
Comments here	Zenpou-Tenshin	HCB+K	-	-	-	-	No	5	2	26	-	+16	+16	Impossible	Impossible	0	-	0	-	31	-	-	-	Zenpou-Tenshin	-
Comments here	Zesshou Hohou (EX)	QCF+PP	160(60+100)(27 life points)	12(7+5)	-	-	No	13・22	9・6	12	-2	Down	Down	HLx2	Hx2	-	-	-	8(4+4)	-	-	-	21(8+13)	Zesshou Hohou (EX)	40
Comments here	Nishou Kyaku (EX)	F, D, DF+KK	170(80+90)(29 life points)	14(9+5)	-	-	No	4・12	2・4	29(26)	-28	Down	Down	HLx2	HLx2	3	10	16	8(4+4)	-	-	-	43(20+23)	Nishou Kyaku (EX)	40
Comments here	Tetsu Zankou (EX)	F, D, DF+PP	160(80+60)(27 life points)	14(9+5)	-	-	Yes/Yes	10・17	7・6	19	-7	Down	Down	HLx2	Hx2	-	-	-	8(4+4)	-	-	-	10(5+5)	Tetsu Zankou (EX)	40
