description	Move	Motion	Damage	Stun Damage	Chains into itself	Special Cancel	Super Cancel	Startup	Hit	Recovery	Blocked Advantage	Hit Advantage	Crouching Hit Advantage	Guard	Parry	gagueData_Miss	gagueData_Blocked	gagueData_Hit	gagueData_Parry (Gauge for opponent)	gagueData_Move	gagueData_Motion	gagueData_Damage	gagueData_Stun Damage	gagueData_Chains into itself	gagueData_Special Cancel	gagueData_Super Cancel	Throw Range	Kara-Throw	Kara-Throw Range	Blocked Damage	Gauge Needed
"An 8-hit neutral throw. When you perform this throw, drum your fingers across all 3
								punches in a piano like fashion to speed up the process. If all 8 hits connect, it does
								more stun than Spartan Bomb. However, the drawback is you will never be able to pull off
								all 8 since the opponent can mash out of it. Thus, you will never use this throw as the
								Spartan Bomb is better than this throw in every way."	Destroy Claw	LP+LK	100(20x6)(15 life points)	18(3x6)	-	-	-	2	1	21	-	-	-	LP+LK	-	0	7 (for the player who blocked)	12(6x2)	-	-	-	-	-	-	-	-	26	F.MP / C.HP	30 / 28	-	-
"One of the best throws in the game. Its range is superior than most, the damage is great,
								and the throw keeps the opponent right next to you. Always try to throw your opponents
								in the direction closer to the corner; a well-placed back throw into the corner can
								straight up steal a round from your opponent."	Spartan Bomb	B/F+LP+LK	140(24 life points)	9	-	-	-	2	1	21	-	-	-	LP+LK	-	0	7 (for the player who blocked)	7	-	-	-	-	-	-	-	-	26	F.MP / C.HP	30 / 28	-	-
Comments here	Crouch Jab	D+LP	15(3 life points)	3	Yes	Yes	Yes	4	2	7	+3	+3	+3	HL	HL	0	1	2	4	-	-	-	-	-	-	-	-	-	-	-	-
"MP - An elbow attack that slides Urien forward, not many uses for this move except
								keeping an opponent cornered for a few attacks, can also be used to go behind opponents
								when they are jumping in for an attack. Goes under Remy's High LOV, and can escape demon
								flip mixups."	Crouch Strong	D+MP	60(10 life points)	3	No	Yes	Yes	11	4	15	-2	-1	0	HL	HL	2	6	11	4	-	-	-	-	-	-	-	-	-	-	-	-
"HP - Urien palms upward, followed by a rising elbow attack in the same motion, Basic
								launcher, extremely crucial to Uriens game, starts juggles. 2 hits, can be used twice in
								a row versus some characters, limited mid-juggle use."	Crouch Fierce	D+HP	110(70+40)(18 life points)	18(9+9)	No	Yes	No	9	1	25	-10	Down	DOWN	HL	HL	3	8	18	4	-	-	-	-	-	-	-	-	-	-	-	-
"LK - Used in unblockable situations and as a quick poke. A solid low attack. Great for
								breaking out of pressure strings. Cancelable into: Special, Super"	Crouch Short	D+LK	15(3 life points)	3	No	Yes	Yes	5	1	9	+1	+1	+1	L	L	0	1	2	4	-	-	-	-	-	-	-	-	-	-	-	-
Comments here	Crouch Forward	D+MK	70(12 life points)	3	No	No	No	7	3	11	0	+1	+2	L	L	2	6	11	4	-	-	-	-	-	-	-	-	-	-	-	-
Comments here	Crouch Roundhouse	D+HK	100(17 life points)	3	No	No	No	12	3	21	-13	Down	Down	L	L	3	10	19	4	-	-	-	-	-	-	-	-	-	-	-	-
"This move is quite good for an anti-air as the reach is far, however, try to use it at
								maximum range. When you are executing a corner juggle, use this as a finisher to reset
								the opponent. This is a viable poke for taller characters such as Hugo, Q, Urien, Alex,
								and Dudley when they are on the ground. Can be cancelled into F+HP."	Quarrel Punch	F+MP	80(14 life points)	9	No	No	No	9	2	14	-3	-2	-1	HL	H	2	6	11	4	-	-	-	-	-	-	-	-	-	-	-	-
"This is an overhead attack. The move comes out pretty fast, and makes for a good meaty
								attack."	Terrible Smash	F+HP	120(21 life points)	3	No	No	No	14	1	21	-6	-4	-2	HL	H	3	10	19	4	-	-	-	-	-	-	-	-	-	-	-	-
"This move has great reach, however it is easily parried. It has a great number of active
								frames, and is thus used as the standard guard break for Aegis Reflector unblockables.
								Other than that, do not use it."	Quarrel Kick	F+MK	90(16 life points)	9	No	No	No	16	3	12	-2	-1	0	HL	H	2	6	11	4	-	-	-	-	-	-	-	-	-	-	-	-
"You'll only land both hits on a standing opponent if they were quite close, but on a
								crouching opponent the F+MP will whiff.
								Not too great of a combo as most of the cast are too short to get hit by F+MP, and not
								only that, when you do happen to connect the first hit, the F+HP will miss unless you
								were quite close, thus not utilizing the great range of the first attack to it's
								potential."	Target Combo	Close LP -> Close MP	100+60	7+5	No	Yes/Yes	Yes/Yes	4	-	-	-2	0	+2	HL/HL	H/H	2+?	4+1	8+1	8(4+4)	-	-	-	-	-	-	-	-	-	-	-	-
-	Metallic Sphere (Jab)	QCF+LP	70(12 life points)	3	-	-	Yes	13～77	1	39	-8	-7	-7	HL	H	0	1	2	4	Metallic Sphere (Jab)	-	-	-	-	-	-	-	-	-	4	-
-	Metallic Sphere (Strong)	QCF+MP	70(12 life points)	3	-	-	Yes	13～77	1	35	-4	-3	-3	HL	H	0	1	2	4	Metallic Sphere (Strong)	-	-	-	-	-	-	-	-	-	4	-
-	Metallic Sphere (Strong)	QCF+HP	70(12 life points)	3	-	-	Yes	13～77	1	35	-4	-3	-3	HL	H	0	1	2	4	Metallic Sphere (Fierce)	-	-	-	-	-	-	-	-	-	4	-
-	Chariot Tackle (Short)	Charge B,F+LK	120(24 life points)	7	-	-	Yes	7	10	18/26 Guard/25 Far	-10	0	2	HL	H	3	10	19	4	Chariot Tackle (Short)	-	-	-	-	-	-	-	-	-	8	-
-	Chariot Tackle (Forward)	Charge B,F+MK	135(26 life points)	9	-	-	Yes	10	12	19/27 Guard/28 Far	-11	-1	1	HL	H	3	10	19	4	Chariot Tackle (Forward)	-	-	-	-	-	-	-	-	-	9	-
-	Chariot Tackle (Forward)	Charge B,F+HK	150(29 life points)	11	-	-	Yes	10	12	19/27 Guard/28 Far	-11	-1	1	HL	H	3	10	19	4	Chariot Tackle (Roundhouse)	-	-	-	-	-	-	-	-	-	10	-
-	Violence Knee Drop (Short)	Charge D,U+LK	110(19 life points)	11	-	-	No	24	12	7	+8/-10～-20	Down	Down	HL	H	3	12	18	4	Violence Knee Drop (Short)	-	-	-	-	-	-	-	-	-	14	-
-	Violence Knee Drop (Forward)	Charge D,U+MK	110(19 life points)	11	-	-	No	24	13	7	+8/-10～-20	Down	Down	HL	H	3	12	18	4	Violence Knee Drop (Forward)	-	-	-	-	-	-	-	-	-	14	-
-	Violence Knee Drop (Forward)	Charge D,U+HK	110(19 life points)	11	-	-	No	24	13	7	+8/-10～-20	Down	Down	HL	H	3	12	18	4	Violence Knee Drop (Roundhouse)	-	-	-	-	-	-	-	-	-	14	-
-	Dangerous Headbutt (Jab)	Charge D,U+LP	120(21 life points)	13	-	-	No	7	2	16	-2	Down	Down	HL	HL	3	15	13	4	Dangerous Headbutt (Jab)	-	-	-	-	-	-	-	-	-	15	-
-	Dangerous Headbutt (Strong)	Charge D,U+MP	130(23 life points)	15	-	-	No	9	4	15	-3	Down	Down	HL/HL	HL/HL	3	15	13	4	Dangerous Headbutt (Strong)	-	-	-	-	-	-	-	-	-	16	-
-	Dangerous Headbutt (Strong)	Charge D,U+HP	140(24 life points)	17	-	-	No	9	4	15	-3	Down	Down	HL/HL	HL/HL	3	15	13	4	Dangerous Headbutt (Fierce)	-	-	-	-	-	-	-	-	-	18	-
Comments here	Metallic Sphere (EX)	QCF+PP	160(80+80)(27 life points)	6(3+3)	-	-	Yes	13	1	55	-16	-15	-15	HLx2	Hx2	-	-	-	8(4+4)	Metallic Sphere (EX)	-	-	-	-	-	-	-	-	-	10(5+5)	40
Comments here	Chariot Tackle (EX)	Charge B,F+KK	170(90+80)(29 life points)	18(9+9)	-	-	Yes/No	6・30	24・10	19/28 Guard/39 Far	-9	+2	+4	HLx2	Hx2	-	-	-	8(4+4)	Chariot Tackle (EX)	-	-	-	-	-	-	-	-	-	11(6+5)	40
Comments here	Dangerous Headbutt (EX)	Charge D,U+PP	160(80+80)(27 life points)	22(11+11)	-	-	No	9・11	2・2	12	+2	Down	Down	HL	H	-	-	-	8(4+4)	Dangerous Headbutt (EX)	-	-	-	-	-	-	-	-	-	20(10+10)	40
Comments here	Violence Kneedrop (EX)	Charge D,U+KK	140(30+110)(23 life points)	18(5+13)	-	-	No/No	26・32	5・2	7	+8/-10～-20	-7	-5	HLx2	Hx2	-	-	-	8(4+4)	Violence Kneedrop (EX)	-	-	-	-	-	-	-	-	-	18(4+14)	40
