description	Move	Motion	Damage	Stun Damage	Chains into itself	Special Cancel	Super Cancel	Startup	Hit	Recovery	Blocked Advantage	Hit Advantage	Crouching Hit Advantage	Guard	Parry	gagueData_Miss	gagueData_Blocked	gagueData_Hit	gagueData_Parry (Gauge for opponent)	Throw Range	Kara-Throw	Kara-Throw Range	Blocked Damage	gagueData_Move	Gauge Needed
Comments here	Back Forward	B+MK	80(14 life points)	13	No	Yes	Yes	5	1	10	+3	+4	+5	HL	H	2	6	11	4	-	-	-	-	-	-
Comments here	Back Roundhouse	B+HK	140(24 life points)	17	No	No	No	12	1	16	+10	+12	+14	HL	H	3	10	19	4	-	-	-	-	-	-
Comments here	Crouch Jab	D+LP	140(24 life points)	11	No	No	No	9	1	4	+2	Down	Down	HL	HL	3	10	19	4	-	-	-	-	-	-
Comments here	Short Drill Kick	(Air) D+LK	65(50+15)(10 life points)	6(3+3)	No	No	No	9,6	Until Landing	-	-23～+5	-23～+5	-23～+5	H	H	2	5	12	4	-	-	-	-	-	-
Comments here	Forward Drill Kick	(Air) D+MK	80(60+20)(12 life points)	10(5+5)	No	No	No	9,6	Until Landing	-	-14～+7	-14～+7	-14～+7	H	H	2	5	12	4	-	-	-	-	-	-
Comments here	Roundhouse Drill Kick	(Air) D+LHK	100(80+20)(17 life points)	10(5+5)	No	No	No	9,6	Until Landing	-	-17～+9	-17～+9	-17～+9	H	H	3	8	18	4	-	-	-	-	-	-
Comments here	Crouch Jab	D+LP	30(5 life points)	3	No	Yes	Yes	6	1	4	+5	+5	+5	HL	HL	0	1	2	4	-	-	-	-	-	-
Comments here	Crouch Strong	D+MP	60(10 life points)	7	No	No	No	8	1	12	0	+1	+2	HL	HL	2	6	11	4	-	-	-	-	-	-
Comments here	Crouch Fierce	D+HP	90(16 life points)	5	No	No	No	8	1	12	-7	-5	-3	HL	HL	3	10	19	4	-	-	-	-	-	-
Comments here	Crouch Short	D+LK	35(6 life points)	3	No	Yes	Yes	6	1	8	+2	+2	+2	L	L	0	1	2	4	-	-	-	-	-	-
Comments here	Crouch Forward	D+MK	60(10 life points)	3	No	No	No	12	1	17	-5	-4	-3	L	L	2	6	11	4	-	-	-	-	-	-
Comments here	Crouch Roundhouse	D+HK	100(17 life points)	3	No	No	No	13	1	26	-12	Down	Down	L	L	3	10	19	4	-	-	-	-	-	-
Comments here	Target Combo	Back LK -> MP	45+50	7+11	Yes/No	Yes/No	Yes/Yes	4	-	-	-3	-2	-1	HL/HL	H/H	0+?	1+1	2+1	8(4+4)	-	-	-	-	-	-
-	Tornado Hook (Jab)	HCF+LP	120(50+70)(19 life points)	12(7+5)	-	-	No/No	6・17	4・4	13	+1	Down	Down	HL/HL	H/H	3	6	14	8(4+4)	-	-	-	8	Tornado Hook (Jab)	-
-	Tornado Hook (Strong)	HCF+MP	130(50+80)(21 life points)	12(7+5)	-	-	No/Yes	10・22	3・4	18	-4	-2	0	HL/HL	H/H	3	6	15	8(4+4)	-	-	-	9	Tornado Hook (Strong)	-
-	Tornado Hook (Strong)	HCF+HP	150(50+50+80(50))(24 life points)	15(7+7+5)	-	-	No/Yes/No	10・22	3・4	18	-4	-2	0	HL/HL	H/H	3	7	15	12(4+4+4)	-	-	-	11	Tornado Hook (Fierce)	-
-	Flying Viper (Jab)	QCB+LP	120(21 life points)	11	-	-	No	26	5	17	-3	Down	Down	HL	HL	3	10	19	4	-	-	-	8	Flying Viper (Jab)	-
-	Flying Viper (Strong)	QCB+MP	140(24 life points)	11	-	-	No	26	6	15	-2	Down	Down	HL/HL	HL/HL	3	10	19	4	-	-	-	9	Flying Viper (Strong)	-
-	Flying Viper (Strong)	QCB+HP	160(28 life points)	11	-	-	No	26	6	15	-2	Down	Down	HL/HL	HL/HL	3	10	19	4	-	-	-	10	Flying Viper (Fierce)	-
-	Rising Cobra (Short)	QCB+LK	130(23 life points)	7	-	-	No	23	4	17	-5	Down	Down	HL	H	3	5	13	4	-	-	-	8	Rising Cobra (Short)	-
-	Rising Cobra (Forward)	QCB+MK	150(26 life points)	9	-	-	No	25	4	17	-5	Down	Down	HL	H	3	5	13	4	-	-	-	9	Rising Cobra (Forward)	-
-	Rising Cobra (Forward)	QCB+HK	170(30 life points)	11	-	-	No	25	4	17	-5	Down	Down	HL	H	3	5	13	4	-	-	-	11	Rising Cobra (Roundhouse)	-
-	Denji Blast (Jab)	F, D, DF+LP, Mash P	60(10 life points)	9	-	-	Yes	6・11・16	2	16	-10	0	0	HLx1~5	Lx1~5	3	10	19	4	-	-	-	15	Denji Blast (Jab)	-
-	Denji Blast (Strong)	F, D, DF+MP, Mash P	180(60×3)(29 life points)	19(9+5+5)	-	-	Yes/No	8・10・14	2	33	-26	Down	Down	HLx1~5	Lx1~5	3	11	21	12(4+4+4)	-	-	-	44	Denji Blast (Strong)	-
-	Denji Blast (Strong)	F, D, DF+HP, Mash P	280(60×5)(38 life points)	29(9+5×4)	-	-	Yes/Yes/No	8・10・14	2	33	-26	Down	Down	HLx1~5	Lx1~5	3	12	23	20(5x4)	-	-	-	70	Denji Blast (Fierce)	-
-	Snake Fang (Short)	HCF+LK	140(24 life points)	11	-	-	No	12	1	28	-13	Down	Down	L	-	2	6	10	-	-	-	-	-	Snake Fang (Short)	-
-	Snake Fang (Forward)	HCF+MK	150(26 life points)	13	-	-	No	12	1	30	-15	Down	Down	L	-	2	6	10	-	-	-	-	-	Snake Fang (Forward)	-
-	Snake Fang (Forward)	HCF+HK	160(28 life points)	15	-	-	No	12	1	30	-15	Down	Down	L	-	2	6	10	-	-	-	-	-	Snake Fang (Roundhouse)	-
-	German Suplex (Short)	HCF+LK turned back oponnent	200(30 life points)	11	-	-	No	6	2	14	-13	Down	Down	L	-	2	6	10	-	-	-	-	-	German Suplex (Short)	-
-	German Suplex (Forward)	HCF+MK turned back oponnent	240(34 life points)	13	-	-	No	6	2	15	-15	Down	Down	L	-	2	6	10	-	-	-	-	-	German Suplex (Forward)	-
-	German Suplex (Forward)	HCF+HK turned back oponnent	280(38 life points)	15	-	-	No	6	2	15	-15	Down	Down	L	-	2	6	10	-	-	-	-	-	German Suplex (Roundhouse)	-
Comments here	Tornado Hook (EX)	HCF+PP	230(50×5)(39 life points)	13(3x5)	-	-	No/No/No/No/Yes	8・21・31・41・52	4・3・3・3・4	21/23 Guard/23 Far	-9	Down	Down	HLx1~5	Hx1~5	-	-	-	20(4x5)	-	-	-	16	Tornado Hook (EX)	40
Comments here	Flying Viper (EX)	QCB+PP	200(80+120)(34 life points)	14(11+3)	-	-	Yes	24・28	5・4	10(14)	+2	+2	+2	HLx2	Hx2	-	-	-	8(4+4)	-	-	-	12(5+7)	Flying Viper (EX)	40
Comments here	Rising Cobra (EX)	QCB+KK	210(100+110)(35 life points)	13(6+7)	-	-	Yes	25・27	2・2	17	-3	Down	Down	HL	HL	-	-	-	8(4+4)	-	-	-	40	Rising Cobra (EX)	QCB+KK
