description	Move	Motion	Damage	Stun Damage	Chains into itself	Special Cancel	Super Cancel	Startup	Hit	Recovery	Blocked Advantage	Hit Advantage	Crouching Hit Advantage	Guard	Parry	gagueData_Miss	gagueData_Blocked	gagueData_Hit	gagueData_Parry (Gauge for opponent)	Throw Range	Kara-Throw	Kara-Throw Range	Blocked Damage	gagueData_Move	Gauge Needed
-	Tatsumaki Senpuu Kyaku (Short)	+	130(23 life points)	15	-	-	No	10	3	22	-12	Down	Down	HL	H	3	12	18	4	-	-	-	8	Tatsumaki Senpuu Kyaku (Short)	-
-	Tatsumaki Senpuu Kyaku (Forward)	+	150(26 life points)	15	-	-	No/No/No	11・(17)・23・(29)・35	2x5	-8	Down	Down	-4	HL/HL/HL	H/H/H	6(3+3)	12(4x3)	21(17+2x2)	12(4x3)	-	-	-	9(x3)	Tatsumaki Senpuu Kyaku (Forward)	-
-	Tatsumaki Senpuu Kyaku (Forward)	+	170(30 life points)	15	-	-	No/No/No	11・(17)・23・(29)・35	2x5	-8	Down	Down	-4	HL/HL/HL	H/H/H	6(3+3)	12(4x3)	21(17+2x2)	12(4x3)	-	-	-	11(x4)	Tatsumaki Senpuu Kyaku (Roundhouse)	-
-	Air Tatsumaki Senpuu Kyaku (Short)	(Air) +	160*(80x4)(17 life points)	10***(5x4)	-	-	No/No	7・(13)・19・(25)・31・(37)・43・(49)	2	13	-	Down	Down	HL	H	4(2+2)	6(2+4)	10	8(4+4)	-	-	-	5**(5x4)	Air Tatsumaki Senpuu Kyaku (Short)	-
-	Air Tatsumaki Senpuu Kyaku (Forward)	(Air) +	160*(80x6)(19 life points)	10***(5x6)	-	-	No/No	7・(13)・19・(25)・31・(37)・43・(49)	2	13	-	Down	Down	HL	H	6(2x3)	6(2+4)	12(10+2)	12(4+4+4)	-	-	-	5**(5x6)	Air Tatsumaki Senpuu Kyaku (Forward)	-
-	Air Tatsumaki Senpuu Kyaku (Forward)	(Air) +	160*(80x8)(21 life points)	10***(5x8)	-	-	No/No	7・(13)・19・(25)・31・(37)・43・(49)	2	13	-	Down	Down	HL	H	8(2x4)	6(2+4)	14(10+2x2)	16(4x4)	-	-	-	5**(5x8)	Air Tatsumaki Senpuu Kyaku (Roundhouse)	-
-	Joudan Sokutou Geri (Short)	+	120(21 life points)	17	-	-	No	10	3	28	-12	Down	Down	HL/HL	H/H	3	10	19	4	-	-	-	15	Joudan Sokutou Geri (Short)	-
-	Joudan Sokutou Geri (Forward)	+	140(24 life points)	17	-	-	No	13	3	27	-11	Down	Down	HL/HL/HL/HL	H/H/H/H	3	10	19	4	-	-	-	18	Joudan Sokutou Geri (Forward)	-
-	Joudan Sokutou Geri (Forward)	+	160(28 life points)	17	-	-	No	13	3	27	-11	Down	Down	HL/HL/HL/HL	H/H/H/H	3	10	19	4	-	-	-	20	Joudan Sokutou Geri (Roundhouse)	-
Comments here	Hadouken (EX)	+	120(60+60)(20 life points)	6(3+3)	-	-	Yes	8	1	36	0	Down	Down	HL	H	-	-	-	8(4+4)	-	-	-	8(4+4)	Hadouken (EX)	40
Comments here	Shoryuken (EX)	+	190(110+80)(32 life points)	14(11+3)	-	-	Yes/No	2・4	2・7	38	-30～-37	Down	Down	HLx2	HLx2	-	-	-	16(4+4+4+4)	-	-	-	19(14+5)	Hadouken (EX)	40
Comments here	Tatsumaki Senpuu Kyaku (EX)	+	210(5 hits)(50+45+50+45+35)(35 life points)	15(3+5+3+5+3)	-	-	No	10・(14)・18・(22)・26・(31)	2x6	"11 | align=""center"" | -4"	Down	Down	"align=""center"" | HL"	H	-	-	-	-	40(4+4)	-	-	-	14(3×4+2)	Tatsumaki Senpuu Kyaku (EX)	40
Comments here	Air Tatsumaki Senpuu Kyaku (EX)	(Air) +	185(40x6)(31 life points)	15(5+3x3)	-	-	No	6・(9)・12・(15)・18・(21)	1x6	13	-	Down	Down	HL	H	-	-	-	24(4x6)	-	-	-	15(3x6)	Air Tatsumaki Senpuu Kyaku (EX)	40
Comments here	Joudan Sokutou Geri (EX)	+	120(21 life points)	7	-	-	No	13	4	27	-12	Down	Down	HL	H	-	-	-	4	-	-	-	15	Joudan Sokutou Geri (EX)	40
