Move	Motion	Damage	Stun Damage	Chains into itself	Special Cancel	Super Cancel	Startup	Hit	Recovery	Blocked Advantage	Hit Advantage	Crouching Hit Advantage	Guard	Parry	gagueData_Miss	gagueData_Blocked	gagueData_Hit	gagueData_Parry (Gauge for opponent)	Throw Range	Kara-Throw	Kara-Throw Range	Gauge Needed	Blocked Damage	gagueData_Move
Target Combo	Forward HK -> Close MK	110+40	7+4	No/No	No/No	No/No	12	-	-	-2	0	+2	L/HL	H/L	3+?	10+1	19+1	8(4+4)	-	-	-	-	-	-
Target Combo	Close LP -> Close MP -> Close MK	25+30+30	3+3+3	Yes/No/No	Yes/Yes	Yes/No/Yes	4	-	-	+2/+1	+3/+3	+3/+3	HL/HL/HL	HL/H/H	0+?	1+1	2+1	8(4+4)	-	-	-	-	-	-
Target Combo	Crouch LK -> Crouch MP -> Crouch HP	30+35+40	3+3+4	Yes/No/No	Yes/No/No	Yes/No/No	4	-	-	-1/-2	0/0	0/0	L/HL/HL	L/HL/HL	0+?	1+1	2+1	12(4+4+4)	-	-	-	-	-	-
Target Combo	Close MK -> Close HK -> Close HP	80+60+20+20	11+6+3+3	No/No/No/No	No/No/No/No	No/No/No/No	5	-	-	-2	0	+2	HL/HL	H/H	2+?	6+1	11+1	12(4+4+4)	-	-	-	-	-	-
Target Combo	Close MP/Forward MK -> Close MK -> Close HP	60/100+40+50	9+4+3	No/No/no	Yes/No/No	Yes/No/No	5	-	-	+1/-4	+3/-2	+5/0	HL/HL/HL	H/H/H	2+?	6+1	11+1	12(4+4+4)	-	-	-	-	-	-
Target Combo	Close LK -> Close MK -> Close MP -> Close HP	40+40+30+20+20	3+4+3+3+3	No/No/No/No	Yes/No/No/No	Yes/No/No/No	4	-	-	+1/+2/0	+3/+3/+2	+3/+3/+2	HL/HL/HL/HL	HL/H/H/H	0+?	1+1	2+1	16(4+4+4+4)	-	-	-	-	-	-
Jet Upper (EX)	F, D, DF+PP	220 (60+160(140))(37 life points)	22 (5+17(3))	-	-	Yes	3・4	1・20	34	-37	Down	Down	HL	H	-	-	-	8(4+4)	-	-	-	40	28 (8+20)	Jet Upper (EX)
Machine Gun Blow (EX)	HCF+PP	190 (40+20(x4)+60+40)(32 life points)	4 ((0x5)+4)	-	-	Yes	16 · 18 · 20 · 22 · 23 · 32 · 46	2 · 2 · 2 · 2 · 1 · 4 · 4	24	-15	Down	Down	HL	HL	-	-	-	28 (4x7)	-	-	-	40	9 ((0x3)+1+1+4+3)	Machine Gun Blow (EX)
Cross Counter (EX)	HCB+PP	160+Taken Damage	20	-	-	Yes	4	29	19	-	Down	Down	HL	HL	-	-	-	24(4+4+4+4+4+4)	-	-	-	40	-	Cross Counter (EX)
Short Swing Blow (EX)	HCB+KK	200(30+30+140)(33 life points)	25(5+5+15)	-	-	Yes/No/No	17・27・41	2・4・4	15	-3	Down	Down	HL	H/H/HL	-	-	-	12(4+4+4)	-	-	-	40	22(2+2+18)	Short Swing Blow (EX)
