Move	Motion	Damage	Stun Damage	Chains into itself	Special Cancel	Super Cancel	Startup	Hit	Recovery	Blocked Advantage	Hit Advantage	Crouching Hit Advantage	Guard	Parry	gagueData_Miss	gagueData_Blocked	gagueData_Hit	gagueData_Parry (Gauge for opponent)	Throw Range	Kara-Throw	Kara-Throw Range	Blocked Damage	gagueData_Move	gagueData_Startup	gagueData_Recovery	gagueData_Blocked Advantage	gagueData_Hit Advantage	gagueData_Crouching Hit Advantage	gagueData_Guard	gagueData_Parry	Gauge Needed
Jump Strong	(Air) MP	80(70 if neutral jump)(12 life points)	11(9 if neutral jump)	No	No	No	6(5 if neutral jump)	13(7 if neutral jump)	-	-1～+10/+1～+10	-1～+10/+1～+10	+3～+10/+7～+10	H	H	2	6	11	4	-	-	-	-	-	-	-	-	-	-	-	-	-
Jump Fierce	(Air) HP	120	13(19/21 life points)	No	No	No	11	5	-	+2～+13/+1～+13	+2～+13/+1～+13	+8～+13/+7～+13	H	H	3	10	19	4	-	-	-	-	-	-	-	-	-	-	-	-	-
Jump Short	(Air) LK	50(40 if neutral jump)(7/8 life points)	5	No	No	No	3(4 if neutral jump)	Until Landing	-	-9～+7	-9～+7	+1～+7	H	H	0	1	2	4	-	-	-	-	-	-	-	-	-	-	-	-	-
Jump Forward	(Air) MK	70(12 life points)	9	No	No	No	7	13	-	-3～+10	-3～+10	+3～+10	H	H	2	6	11	4	-	-	-	-	-	-	-	-	-	-	-	-	-
Neutral Jump Forward	(Air) MK	70(12 life points)	9(7)	No	No	No	5	7	-	-6～+10	-6～+10	+4～+10	H	H	2	6	11	4	-	-	-	-	-	-	-	-	-	-	-	-	-
Jump Roundhouse	(Air) HK	110(95)(90)(19 life points)	13(11)	No	No	No	11	3	-	+3～+13	+3～+13	+8～+13	H	H	3	10	19	4	-	-	-	-	-	-	-	-	-	-	-	-	-
Neutral Jump Roundhouse	(Air) HK	110(95)(90)(19 life points)	13(11)	No	No	No	10	3	-	+2～+13	+2～+13	+10～+13	H	H	3	10	19	4	-	-	-	-	-	-	-	-	-	-	-	-	-
Universal Overhead	MP+MK	40(7 life points)	3	No	No	No	15	10	5	-5~+7	0~+8	+1~+9	H	H	0	1	2	4	-	-	-	-	-	-	-	-	-	-	-	-	-
Yamitsudzura	(B/F)+LP+LK	140(21 life points)	13	-	-	-	2	1	21	-	-	-	(B/F)+LP+LK	-	0	7 (for the player who blocked)	12(6x2)	-	16	Close S.LP / C.HP / S.MK / Close S.HK	30 / 22 / 20 / 20	-	-	-	-	-	-	-	-	-	-
Tobizaru	(Air) LP+LK	160(21 life points)	18	-	-	-	6	1	-	-	-	-	(Air) LP+LK	-	0	7 (for the player who blocked)	15	-	12 Width x 44~67 Large	-	-	-	-	-	-	-	-	-	-	-	-
Crouch Jab	D+LP	20(3 life points)	3	No	Yes	Yes	3	3	3	+5	+5	+5	HL	HL	0	1	2	4	-	-	-	-	-	-	-	-	-	-	-	-	-
Crouch Strong	D+MP	70(12 life points)	7	No	Yes	Yes	9	7	9	+2	+3	+4	HL	HL	2	4	10	4	-	-	-	-	-	-	-	-	-	-	-	-	-
Crouch Fierce	D+HP	110(100)(19 life points)	15	No	No	Yes	8	3	18	-3	-1	+1	HL	HL	3	10	19	4	-	-	-	-	-	-	-	-	-	-	-	-	-
Crouch Short	D+LK	20(3 life points)	3	Yes	Yes	Yes	5	3	5	+3	+3	+3	L	L	0	1	2	4	-	-	-	-	-	-	-	-	-	-	-	-	-
Crouch Forward	D+MK	70(12 life points)	3	No	No	No	6	5	11	-2	-1	0	L	L	2	4	10	4	-	-	-	-	-	-	-	-	-	-	-	-	-
Crouch Roundhouse	D+HK	100(17 life points)	3	No	No	No	10	2	24	-8	Down	Down	L	L	3	7	17	4	-	-	-	-	-	-	-	-	-	-	-	-	-
Maki Geri	F + LK	20(3 life points)	3	Yes	Yes	No	5	4	8	-1	-1	-1	HL	HL	0	1	2	4	-	-	-	-	-	-	-	-	-	-	-	-	-
Koube Kudaki	F+MK	80	13	No	No	No	27	3	3	+9	+10	+11	HL	H	2	6	11	4	-	-	-	-	-	-	-	-	-	-	-	-	-
You Men	B + MP	90(30+60/50)(13 life points)	14(5+9/7)	No	Yes	No	6	1,6	10	-2	-1	0	HL	H	2	7	12	4	-	-	-	-	-	-	-	-	-	-	-	-	-
Ura Maki Geri	B + MK	70(12 life points)	5	No	No	No	13	2	13	-2	-1	0	HL	H	2	6	11	4	-	-	-	-	-	-	-	-	-	-	-	-	-
Sazan	DF + MK	70(12 life points)	3	No	No	No	6	11	9	-16	-6	-5	L	L	3	7	17	4	-	-	-	-	-	-	-	-	-	-	-	-	-
Oiura Ken	Far HP,HP	80(16 life points)	17	No	No	No	2	3	31	-1	+1	+3	HL	H	3	5	13	4	-	-	-	-	-	-	-	-	-	-	-	-	-
Bonshou Geri	F+HK	130(23 life points)	17	No	No	No	12	1	20	-1	+1	+3	HL	H	3	10	19	4	-	-	-	-	-	-	-	-	-	-	-	-	-
Target Combo	Close LP -> Close MP (1 hit) -> Close HP	25+40+20	5+6+3	No/No/No	Yes/Yes/Yes	Yes/Yes/Yes	2	-	-	-2/+3	-1/+5	0/+7	HL/HL/HL	HL/H/HL	0+?	1+1	2+1	12(4+4+4)	-	-	-	-	-	-	-	-	-	-	-	-	-
Target Combo	Far LP -> Far MP -> F+LK	25+40+20	5+6+3	No/No/No	No/No/No	No/No/No	2	-	-	+6/+2	+7/+3	+8/+4	HL/HL/HL	HL/H/HL	0+?	1+1	2+1	12(4+4+4)	-	-	-	-	-	-	-	-	-	-	-	-	-
Target Combo	Close LK -> Close MK -> Close HK	20+50+50	3+5+5	No	Yes/Yes/No	Yes/Yes/No	4	-	-	+4/-2	+5/0	+6/+2	HL/HL/HL	HL/H/H	0+?	1+1	2+1	12(4+4+4)	-	-	-	-	-	-	-	-	-	-	-	-	-
Target Combo	Jump LP -> Jump Forward HP	60+60	5+6	No/No	No/No	No/No	-	-	-	-	-	-	HL/HL	H/H	0+?	1+1	2+1	8(4+4)	-	-	-	-	-	-	-	-	-	-	-	-	-
Target Combo	Jump LK -> Jump F+MK	40+40	5+5	No	No/No	No/No	4	-	-	-2	0	+2	HL/HL	H/H	0+?	1+1	2+1	8(4+4)	-	-	-	-	-	-	-	-	-	-	-	-	-
Target Combo	Jump HP -> Jump F+MK	120+40	13+5	No	No/No	No/No	4	-	-	-	-	-	HL/HL	H/H	3+?	10+1	19+1	8(4+4)	-	-	-	-	-	-	-	-	-	-	-	-	-
Target Combo	Close LP -> Close MP (1 hit) -> Crouch HK -< Close HK	100+60	7+5	No	Yes/Yes	Yes/Yes	4	-	-	-2	0	+2	HL/HL	H/H	0+?	1+1	2+1	8(4+4)	-	-	-	-	-	-	-	-	-	-	-	-	-
Target Combo	Close HP (2 hits) -> Crouch HK -> Far HK	130(60+70)+50+40	16(9+7)+3+4	No/No/No/No	Yes/No/No/No	Yes/No/No/No	9	-	-	-8/-2	Down/-1	Down/+1	HL/HL/L/HL	HL/HL/L/H	3+?	10+1	19+1	8(4+4)	-	-	-	-	-	-	-	-	-	-	-	-	-
Target Combo	Close MP -> Close HP	100+60	7+5	No	Yes/Yes	Yes/Yes	4	-	-	-2	0	+2	HL/HL	H/H	1+?	3+1	9+1	8(4+4)	-	-	-	-	-	-	-	-	-	-	-	-	-
Target Combo	Back MK -> Forward MK	70+70	5+13	No/No	No/No	No/No	13	-	-	+9	+10	+11	HL/HL	H/H	2+?	6+1	11+1	8(4+4)	-	-	-	-	-	-	-	-	-	-	-	-	-
Target Combo	Crouch HK -> Close HK	100+60	3+10	No/No	No/No	No/No	10	-	-	-2	0	+2	HL/H	H/H	3+?	7+1	17+1	8(4+4)	-	-	-	-	-	-	-	-	-	-	-	-	-
Kubiori	QCF+P	150(26 life points)	10	-	-	Yes	14/15/17*	11/12/14	15/18/19	-10/-16/-19	Down	Down	HL	HL	-	-	2	-	-	-	-	15	Tsuiji Goe	42/44/48*	0	0	-	-	-	-	-
Kunai (EX)	QCF+PP On Air	120(60+60)(18 life points)	6(3+3)	-	-	Yes	7・9(11・13)	1・1	12(14)	-	-	-	HL/HL	HL/HL	-	-	-	8(4+4)	-	-	-	7	Kunai (EX)	-	-	-	-	-	-	-	40
Kazekiri (EX)	F, D, DF+KK	180(60+20+20+80(90))(28 life points)	18(3+3+5+7(7))	-	-	Yes	4・5・6・7	1・1・1・8	33	-21(-18)	-15（-12）	-13（-10）	HLx4	HLx4	-	-	-	16(4+4+4+4)	-	-	-	21(7+2+2+10(11))	Kazekiri (EX)	-	-	-	-	-	-	-	40
Tsumuji (EX)	QCB+KK (Press D)	150(50+50+50)+70/(80(40+40)+60 D)(35 life points)	13(3+5+5)+3/(6(3+3)+3 D)	-	-	Yes/Yes/Yes/No (Yes/Yes/No D)	7・17・27+38/(22・39+42 D)	1・1・1+1/(2・2+2 D)	28/(30 D)	-11(-16 D)	Down	Down	HLx3+HL/Lx3 Down	Hx4/Lx3	-	-	-	8(4+4)	-	-	-	9(3+3+3)+4/(4(2+2)+3 D)	Tsumuji (EX)	-	-	-	-	-	-	-	40
Hien (EX)	B, D, DB+KK	190(40+150)(32 life points)	16(7+9)	-	-	No	26・30	4・2	11(12)	-30(31)	-30	-30	H/H	H/H	3	13	19	8(4+4)	-	-	-	19(10+9)	Hien (EX)	-	-	-	-	-	-	-	40
Kubi Ori (EX)	QCF+PP	200(26 life points)	21	-	-	No	15	10	19	-15	Down	Down	L	L	2	6	10	4	-	-	-	20	Kubi Ori (EX)	-	-	-	-	-	-	-	40
