Move	Motion	Damage	Stun Damage	Chains into itself	Special Cancel	Super Cancel	Startup	Hit	Recovery	Blocked Advantage	Hit Advantage	Crouching Hit Advantage	Guard	Parry	gagueData_Miss	gagueData_Blocked	gagueData_Hit	gagueData_Parry (Gauge for opponent)	Throw Range	Kara-Throw	Kara-Throw Range	Gauge Needed	Blocked Damage	gagueData_Move
Back Strong	B+MP	70(12 life points)	11	No	Yes	Yes	4	2	10	+1	+2	+3	HL	H	2	6	11	4	-	-	-	-	-	-
Back Fierce	B+HP	130(23 life points)	15	No	No	No	11	4	15	-3	Down	Down	HL	HL	3	10	19	4	-	-	-	-	-	-
Back Short	B+LK	45(8 life points)	7	Yes	Yes	Yes	3	2	7	+3	+3	+3	HL	HL	0	1	2	4	-	-	-	-	-	-
Back Forward	B+MK	80(14 life points)	13	No	Yes	Yes	5	1	10	+3	+4	+5	HL	H	2	6	11	4	-	-	-	-	-	-
Back Roundhouse	B+HK	140(24 life points)	17	No	No	No	12	1	16	+10	+12	+14	HL	H	3	10	19	4	-	-	-	-	-	-
Crouch Jab	D+LP	140(24 life points)	11	No	No	No	9	1	4	+2	Down	Down	HL	HL	3	10	19	4	-	-	-	-	-	-
Short Drill Kick	(Air) D+LK	65(50+15)(10 life points)	6(3+3)	No	No	No	9,6	Until Landing	-	-23～+5	-23～+5	-23～+5	H	H	2	5	12	4	-	-	-	-	-	-
Forward Drill Kick	(Air) D+MK	80(60+20)(12 life points)	10(5+5)	No	No	No	9,6	Until Landing	-	-14～+7	-14～+7	-14～+7	H	H	2	5	12	4	-	-	-	-	-	-
Roundhouse Drill Kick	(Air) D+LHK	100(80+20)(17 life points)	10(5+5)	No	No	No	9,6	Until Landing	-	-17～+9	-17～+9	-17～+9	H	H	3	8	18	4	-	-	-	-	-	-
Crouch Jab	D+LP	30(5 life points)	3	No	Yes	Yes	6	1	4	+5	+5	+5	HL	HL	0	1	2	4	-	-	-	-	-	-
Crouch Strong	D+MP	60(10 life points)	7	No	No	No	8	1	12	0	+1	+2	HL	HL	2	6	11	4	-	-	-	-	-	-
Crouch Fierce	D+HP	90(16 life points)	5	No	No	No	8	1	12	-7	-5	-3	HL	HL	3	10	19	4	-	-	-	-	-	-
Crouch Short	D+LK	35(6 life points)	3	No	Yes	Yes	6	1	8	+2	+2	+2	L	L	0	1	2	4	-	-	-	-	-	-
Crouch Forward	D+MK	60(10 life points)	3	No	No	No	12	1	17	-5	-4	-3	L	L	2	6	11	4	-	-	-	-	-	-
Crouch Roundhouse	D+HK	100(17 life points)	3	No	No	No	13	1	26	-12	Down	Down	L	L	3	10	19	4	-	-	-	-	-	-
Target Combo	Back LK -> MP	45+50	7+11	Yes/No	Yes/No	Yes/Yes	4	-	-	-3	-2	-1	HL/HL	H/H	0+?	1+1	2+1	8(4+4)	-	-	-	-	-	-
Tornado Hook (EX)	HCF+PP	230(50×5)(39 life points)	13(3x5)	-	-	No/No/No/No/Yes	8・21・31・41・52	4・3・3・3・4	21/23 Guard/23 Far	-9	Down	Down	HLx1~5	Hx1~5	-	-	-	20(4x5)	-	-	-	40	16	Tornado Hook (EX)
Flying Viper (EX)	QCB+PP	200(80+120)(34 life points)	14(11+3)	-	-	Yes	24・28	5・4	10(14)	+2	+2	+2	HLx2	Hx2	-	-	-	8(4+4)	-	-	-	40	12(5+7)	Flying Viper (EX)
Rising Cobra (EX)	QCB+KK	210(100+110)(35 life points)	13(6+7)	-	-	Yes	25・27	2・2	17	-3	Down	Down	HL	HL	-	-	-	8(4+4)	-	-	-	QCB+KK	40	Rising Cobra (EX)
