Move	Motion	Damage	Stun Damage	Chains into itself	Special Cancel	Super Cancel	Startup	Hit	Recovery	Blocked Advantage	Hit Advantage	Crouching Hit Advantage	Guard	Parry	gagueData_Miss	gagueData_Blocked	gagueData_Hit	gagueData_Parry (Gauge for opponent)	Throw Range	Kara-Throw	Kara-Throw Range	Gauge Needed	Blocked Damage	gagueData_Move
Crouch Jab	D+LP	30(5 life points)	3	No	Yes	Yes	3	2	5	+4	+4	+4	HL	HL	0	1	2	4	-	-	-	-	-	-
Crouch Strong	D+MP	55(9 life points)	7	No	No	No	5	2	10	-2	+4	+5	HL	HL	2	6	11	4	-	-	-	-	-	-
Crouch Fierce	D+HP	100(40x3)(18 life points)	9(5+3+3)	No	No	No	10	7	13	-8	-1	+1	HL	HL	2	4	10	4	-	-	-	-	-	-
Crouch Short	D+LK	35(7 life points)	3	No	Yes	Yes	3	4	8	+1	+1	+1	L	L	0	1	2	4	-	-	-	-	-	-
Crouch Forward	D+MK	60(10 life points)	3	No	No	No	8	2	14	-2	-1	0	L	L	2	6	11	4	-	-	-	-	-	-
Crouch Roundhouse	D+HK	90(16 life points)	3	No	No	No	13	2	25	-11	Down	Down	L	L	2	8	11	4	-	-	-	-	-	-
B.M.K.	B+MK	80(14 life points)	11	No	Yes	Yes	5	5	14	-2	-1	0	HL	HL	2¿	6	11	4	-	-	-	-	-	-
Kokuu	(Air) F,F or B,B	-	-	No	Yes	No	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
N.D.L. (EX)	QCF+PP	80(50+30)(13 life points)	6(3+3)	-	-	No	12・18	6・7	15	0	Down	Down	HL	H	-	-	-	8(4+4)	-	-	-	40	5(3+2)	N.D.L. (EX)
A.X.E. (EX)	QCB+PP	240(60+[40x5])(22 life points)	18(5+[3x5])	-	-	Yes/No~	8	3・3・5・3・3・4	15(13)	-4	-1	0	HL	H	-	-	-	24(4x6)	-	-	-	40	40(15+[5x5])	A.X.E. (EX)
Air A.X.E. (EX)	(Air) QCB+PP	210(60+[35X5])(20 life points)	15(5+[3X5])	-	-	Yes	6	3・3・4・3・3・4	15	-	-	-	HL	H	-	-	-	24(4X6)	-	-	-	40	35(15+[4X5])	Air A.X.E. (EX)
D.R.A. (EX)	(Air) QCB+KK	240(80(x10))(20 life points)	15(5(x10))	-	-	No	6・8	Until Landing	20	-8～0	-1～0・Down	-2～0・Down	HL	H	-	-	-	8(4+4)	-	-	-	40	5(5(x10))	D.R.A. (EX)
