Move	Motion	Damage	Stun Damage	Chains into itself	Special Cancel	Super Cancel	Startup	Hit	Recovery	Blocked Advantage	Hit Advantage	Crouching Hit Advantage	Guard	Parry	gagueData_Miss	gagueData_Blocked	gagueData_Hit	gagueData_Parry (Gauge for opponent)	Throw Range	Kara-Throw	Kara-Throw Range	Throw Range (Front)	Throw Range (Up & Down)	Gauge Needed	Blocked Damage	gagueData_Move
Neutral Jump Jab	(Air) LP	60(10 life points)	5	No	No	No	3	12	-	-	-	-	H	H	0	1	2	4	-	-	-	-	-	-	-	-
Jump Strong	(Air) MP	100(17 life points)	11	No	No	No	10	8	-	-	-	-	H	H	1	5	9	4	-	-	-	-	-	-	-	-
Neutral Jump Strong	(Air) MP	110(19 life points)	9	No	No	No	5	6	-	-	-	-	H	H	1	5	9	4	-	-	-	-	-	-	-	-
Jump Fierce	(Air) HP	140(100+40)(23 life points)	18(9+9)	No	No	No	9	2	-	-	-	-	H	H	2	8	17	8(4+4)	-	-	-	-	-	-	-	-
Neutral Jump Fierce	(Air) HP	140(24 life points)	13	No	No	No	7	4	-	-	-	-	H	H	2	7	15	4	-	-	-	-	-	-	-	-
Jump Short	(Air) LK	60(10 life points)	5	No	No	No	3	13	-	-	-	-	H	H	0	1	2	4	-	-	-	-	-	-	-	-
Neutral Jump Short	(Air) LK	60(10 life points)	7	No	No	No	2	10	-	-	-	-	H	H	0	1	2	4	-	-	-	-	-	-	-	-
Jump Forward	(Air) MK	100(17 life points)	9	No	No	No	3	6	-	-	-	-	H	H	1	5	9	4	-	-	-	-	-	-	-	-
Neutral Jump Forward	(Air) MK	110(19 life points)	11	No	No	No	4	8	-	-	-	-	H	H	1	5	9	4	-	-	-	-	-	-	-	-
Jump Roundhouse	(Air) HK	120(21 life points)	13	No	No	No	5	3	-	-	-	-	H	H	2	7	15	4	-	-	-	-	-	-	-	-
Neutral Jump Roundhouse	(Air) HK	140(24 life points)	15	No	No	No	5	5	-	-	-	-	H	H	2	7	15	4	-	-	-	-	-	-	-	-
Tobi Hiza	MP+MK	40(7 life points)	3	No	No	No	15	10	5	-5~+7	0~+8	+1~+9	H	H	0	1	2	4	-	-	-	-	-	-	-	-
Kubi-jime Kataguruma	LP+LK or F+LP+LK	115(6x30)(19 life points)	20(6x5)	-	-	-	2	1	21	-	-	-	LP+LK	-	0	7 (for the player who blocked)	12	-	25	Far S.MK/S.HK/Close S.MP/Close S.MK	53/39/35/35	-	-	-	-	-
Tomoe Nage	B+LP+LK	120(21 life points)	15	-	-	-	2	1	21	-	-	-	LP+LK	-	0	7 (for the player who blocked)	7	-	25	Far S.MK/S.HK/Close S.MP/Close S.MK	53/39/35/35	-	-	-	-	-
Kuuchuu Jigoku Guruma	(Air) LP+LK	180(32 life points)	15	-	-	-	6	1	-	-	-	-	LP+LK	-	0	-	7	-	-	-	-	19	62~91	-	-	-
Mawashi Hiji	F+MP	90(16 life points)	13	No	Yes	Yes	8	2	18	-5	-4	-3	HL	H	1	5	9	4	-	-	-	-	-	-	-	-
Crouch Jab	D+LP	30(5 life points)	3	Yes	Yes	Yes	4	2	9	+1	+1	+1	HL	HL	0	1	2	4	-	-	-	-	-	-	-	-
Crouch Strong	D+MP	65(11 life points)	3	No	Yes	Yes	7	6	12	-5	-4	-3	HL	HL	1	5	9	4	-	-	-	-	-	-	-	-
Crouch Fierce	D+HP	120(21 life points)	11	No	No	Yes	6	4	18	-2	0	0	HL	HL	2	7	15	4	-	-	-	-	-	-	-	-
Crouch Short	D+LK	20(3 life points)	3	No	Yes	Yes	4	2	9	+1	+1	+1	L	L	0	1	2	4	-	-	-	-	-	-	-	-
Crouch Forward	D+MK	80(14 life points)	3	No	Yes	Yes	6	4	11	0	+1	+2	L	L	1	5	9	4	-	-	-	-	-	-	-	-
Crouch Roundhouse	D+HK	100(17 life points)	3	No	No	No	10	2	20	-6	Down	Down	L	L	2	7	15	4	-	-	-	-	-	-	-	-
Target Combo	Close LK -> MK	40+50	3+5	No/No	Yes/No	Yes/No	2	-	-	-5	-4	-3	HL	HL/H	0+?	1+1	2+1	8(4+4)	-	-	-	-	-	-	-	-
Sun Disk Palm (EX)	Charge B,F+PP	120(60+60)(16 life points)	6(3+3)	-	-	Yes	14/20	120	27/37	+1	+2	+3	HL	H	-	-	-	8(4+4)	-	-	-	-	-	40	8(4+4)	Sun Disk Palm (EX)
Oniyama (EX)	Charge D,U+PP	220(4 hits)(70+60+60+30)(35 life points)	224(15+3×3)	-	-	Yes/Yes/No/No	5	3・1・1・20	43	-47	Down	Down	HLx4	HLx4	-	-	-	16(4+4+4+4)	-	-	-	-	-	40	14(7+3+3+1)	Sun Disk Palm (EX)
Jinchu Nobori (EX)	QCF+KK	205(65+65+75)(34 life points)	15(5+5+5)	-	-	No	31・41・45	6・3・3	13(2)	-40～-35	Down	Down	Hx3	Hx3	-	-	-	12(4+4+4+4)	-	-	-	-	-	40	13(4+4+5)	Jinchu Nobori (EX)
Air Jinchu Nobori (EX)	(Air) QCF+KK	220(9 hits)(45+45+25x7)(22 life points)	10(7+7+0×6)	-	-	No	8	3	13	-	Down	Down	HL	H	-	-	-	39(4x9)	-	-	-	-	-	40	6	Air Jinchu Nobori (EX)
