Move	Motion	Damage	Stun Damage	Chains into itself	Special Cancel	Super Cancel	Startup	Hit	Recovery	Blocked Advantage	Hit Advantage	Crouching Hit Advantage	Guard	Parry	gagueData_Miss	gagueData_Blocked	gagueData_Hit	gagueData_Parry (Gauge for opponent)	Throw Range	Kara-Throw	Kara-Throw Range	Gauge Needed	Blocked Damage	gagueData_Move
"Hiji Otoshi Sanren Tsuki ""Araiso"""	B/F+LP+LK	150(21 life points)	13	-	-	-	2	1	21	-	-	-	B/F+LP+LK	-	0	7 (for the player who blocked)	7	-	20	C.HK / S.LK / S.MK / F.LK / F.MP / C.MP / F.MK	33 / 27 / 27 / 24 / 24 / 23 / 22	-	-	-
Crouch Jab	D+LP	20(3 life points)	3	Yes	Yes	Yes	5	4	5	+3	+3	+3	HL	HL	0	1	2	4	-	-	-	-	-	-
Crouch Strong	D+MP	70(12 life points)	5	No	Yes	Yes	7	7	11	-1	0	+1	HL	HL	2	6	11	4	-	-	-	-	-	-
Crouch Fierce	D+HP	130(17 life points)	13	No	Yes	Yes	10	2	21	-6	Down	Down	HL	HL	3	10	19	4	-	-	-	-	-	-
Crouch Short	D+LK	40(5 life points)	3	No	Yes	Yes	4	6	10	-3	-3	-3	L	L	0	1	2	4	-	-	-	-	-	-
Crouch Forward	D+MK	90(16 life points)	5	No	No	No	7	8	7	+3	+4	+5	L	L	2	4	8	4	-	-	-	-	-	-
Crouch Roundhouse	D+HK	130(23 life points)	15	No	No	No	10	4	12	+2	+4	+6	L	L	3	10	19	4	-	-	-	-	-	-
Kazami	F+LP	25(4 life points)	3	No	No	No	4	4	8	0	0	0	HL	HL	0	1	2	4	-	-	-	-	-	-
Kaoruna	F+MP	85(15 life points)	5	No	No	No	9	6	9	+2	+3	+4	HL	H	2	6	11	4	-	-	-	-	-	-
Shimaki	F+HP	150(16 life points)	13	No	No	No	16	12	16	-4	-2	0	HL	H	3	7	17	4	-	-	-	-	-	-
Shimaki	F+HP	150,20+20(31 life points)	13,3+3	No	No	No	16	4,15	13	-4	-3	-2	HL	H	3	11	29	4	-	-	-	-	-	-
Shinbuki	F+LK	35(6 life points)	5	No	No	No	6	6	13	-5	-5	-5	HL	H	0	1	2	4	-	-	-	-	-	-
Naruto	F+MK	100(17 life points)	9	No	No	No	17	5	18	-5	-3	-1	HL	H	2	6	11	4	-	-	-	-	-	-
Kurushio	F+HK	120(21 life points)	5	No	No	No	22	3	25	-11	Down	Down	HL	H	3	10	19	4	-	-	-	-	-	-
Target Combo	LK -> MK	40+70	3+7	No	Yes/No	Yes/No	4	-	-	-3	-2	-1	HL/HL	H/H	0+?	1+1	2+1	8(4+4)	-	-	-	-	-	-
Target Combo	F+MK -> Far HK	100+80	9+7	No/No	No/No	No/No	17	-	-	-1	-1	+1	HL/HL	HL/H	2+?	6+1	11+1	8(4+4)	-	-	-	-	-	-
Hayate (EX)	QCF+PP	160(28 life points)	15	-	-	No	17	1	8/12 Guard/8 Far	+2	Down	Down	HL	H	-	-	-	4	-	-	-	40	20	Hayate (EX)
Fukiage (EX)	F, D, DF+PP	140(24 life points)	21	-	-	Yes	11	8	17/26 Guard	-	Down	Down	HL	HL	-	-	-	4	-	-	-	40	18	Fukiage (EX)
Oroshi (EX)	QCB+PP	160(28 life points)	9	-	-	Yes	13	7	17	+3～+9	Down	Down	HL	H	-	-	-	4	-	-	-	40	40	Oroshi (EX)
Tsurugi (EX)	(Air) QCB+KK	180(80+100)(17 life points)	18(9+9)	-	-	No	15・17	2・2	8	+2～+9	Down	Down	Hx2	Hx2	-	-	-	8(4+4)	-	-	-	40	23(10+13)	Tsurugi (EX)
