Move	Motion	Damage	Stun Damage	Chains into itself	Special Cancel	Super Cancel	Startup	Hit	Recovery	Blocked Advantage	Hit Advantage	Crouching Hit Advantage	Guard	Parry	gagueData_Miss	gagueData_Blocked	gagueData_Hit	gagueData_Parry (Gauge for opponent)	Throw Range	Kara-Throw	Kara-Throw Range	Blocked Damage	Gauge Needed	gagueData_Move
Crouch Forward	+	80(14 life points)	3	No	Yes	Yes	7	5	16	-3	-2	-1	L	L	2	6	11	4	-	-	-	-	-	-
Crouch Roundhouse	+	130(23 life points)	3	No	No	No	7	5	25	-13	Down	Down	L	L	3	10	19	4	-	-	-	-	-	-
Sakotsu Wari	+	100(60+40)(15 life points)	16(9+7)	No	No	No	14	1,11	9	-1	+1	+3	HL	H	2	5	11	8(4+4)	-	-	-	-	-	-
Kyuubi Kudaki	+	150(70+80)(24 life points)	14(7+7)	No	No	No	18	2,4	13	+2	+4	+6	HL	H	4	12	21	8(4+4)	-	-	-	-	-	-
Target Combo	Far standing HP -> HK	130+60	13+3	No/No	No/No	No/No	11	-	-	-9	-7	-5	HL/HL	H/H	3+?	10+1	19+1	8(4+4)	-	-	-	-	-	-
Hadouken	+	60(10 life points)	3	-	-	Yes	9	1	36	-9	-8	-7	HL	H	0	1	1	4	-	-	-	4	-	-
Hadouken (EX)	+	120(60+60)(20 life points)	6(3+3)	-	-	Yes	8	1	36	0	Down	Down	HL	H	-	-	-	8(4+4)	-	-	-	8(4+4)	40	Hadouken (EX)
Shoryuken (EX)	+	190(110+80)(32 life points)	14(11+3)	-	-	Yes/No	2・4	2・7	38	-30～-37	Down	Down	HLx2	HLx2	-	-	-	16(4+4+4+4)	-	-	-	19(14+5)	40	Hadouken (EX)
Tatsumaki Senpuu Kyaku (EX)	+	210(5 hits)(50+45+50+45+35)(35 life points)	15(3+5+3+5+3)	-	-	No	10・(14)・18・(22)・26・(31)	2x6	"11 | align=""center"" | -4"	Down	Down	"align=""center"" | HL"	H	-	-	-	-	40(4+4)	-	-	-	14(3×4+2)	40	Tatsumaki Senpuu Kyaku (EX)
Air Tatsumaki Senpuu Kyaku (EX)	(Air) +	185(40x6)(31 life points)	15(5+3x3)	-	-	No	6・(9)・12・(15)・18・(21)	1x6	13	-	Down	Down	HL	H	-	-	-	24(4x6)	-	-	-	15(3x6)	40	Air Tatsumaki Senpuu Kyaku (EX)
Joudan Sokutou Geri (EX)	+	120(21 life points)	7	-	-	No	13	4	27	-12	Down	Down	HL	H	-	-	-	4	-	-	-	15	40	Joudan Sokutou Geri (EX)
